Pes_atur,Nom_Barri,Codi_Barri,Poblacio_16_64_anys,Mes
7.5,el Camp d'en Grassot i Gràcia Nova,32,22614,6
8.1,Vallcarca i els Penitents,28,9998,7
6.9,el Coll,29,4950,7
8.3,la Salut,30,8292,7
7.6,la Vila de Gràcia,31,34941,7
7.3,el Camp d'en Grassot i Gràcia Nova,32,22614,7
8.3,Vallcarca i els Penitents,28,9998,8
7,el Coll,29,4950,8
8.4,la Salut,30,8292,8
7.8,la Vila de Gràcia,31,34941,8
7.5,el Camp d'en Grassot i Gràcia Nova,32,22614,8
8.2,Vallcarca i els Penitents,28,9998,9
7,el Coll,29,4950,9
8.2,la Salut,30,8292,9
7.4,la Vila de Gràcia,31,34941,9
7.3,el Camp d'en Grassot i Gràcia Nova,32,22614,9
8.1,Vallcarca i els Penitents,28,9998,10
6.9,el Coll,29,4950,10
8.2,la Salut,30,8292,10
7.5,la Vila de Gràcia,31,34941,10
7.3,el Camp d'en Grassot i Gràcia Nova,32,22614,10
8.2,Vallcarca i els Penitents,28,9998,11
7,el Coll,29,4950,11
8.1,la Salut,30,8292,11
7.4,la Vila de Gràcia,31,34941,11
7.3,el Camp d'en Grassot i Gràcia Nova,32,22614,11
6,el Baix Guinardó,33,16570,1
6.4,Can Baró,34,6031,1
6.4,el Guinardó,35,24108,1
8.3,la Font d'en Fargues,36,5794,1
8,el Carmel,37,20567,1
6.4,la Teixonera,38,7751,1
6.5,Sant Genís dels Agudells,39,4555,1
6.9,Montbau,40,3125,1
6.6,la Vall d'Hebron,41,3500,1
3.3,la Clota,42,479,1
8,Horta,43,17002,1
6,el Baix Guinardó,33,16570,2
6.4,Can Baró,34,6031,2
6.3,el Guinardó,35,24108,2
8.3,la Font d'en Fargues,36,5794,2
8,el Carmel,37,20567,2
6.5,la Teixonera,38,7751,2
6.7,Sant Genís dels Agudells,39,4555,2
7.1,Montbau,40,3125,2
6.8,la Vall d'Hebron,41,3500,2
3.5,la Clota,42,479,2
8.1,Horta,43,17002,2
6.5,el Baix Guinardó,33,16570,3
7,Can Baró,34,6031,3
6.7,el Guinardó,35,24108,3
8.8,la Font d'en Fargues,36,5794,3
8.4,el Carmel,37,20567,3
6.8,la Teixonera,38,7751,3
7.1,Sant Genís dels Agudells,39,4555,3
7.4,Montbau,40,3125,3
7.1,la Vall d'Hebron,41,3500,3
3.6,la Clota,42,479,3
8.4,Horta,43,17002,3
7.4,el Baix Guinardó,33,16570,4
7.8,Can Baró,34,6031,4
7.6,el Guinardó,35,24108,4
9.9,la Font d'en Fargues,36,5794,4
9.5,el Carmel,37,20567,4
7.8,la Teixonera,38,7751,4
8.1,Sant Genís dels Agudells,39,4555,4
8.5,Montbau,40,3125,4
8.1,la Vall d'Hebron,41,3500,4
4.2,la Clota,42,479,4
9.5,Horta,43,17002,4
7.7,el Baix Guinardó,33,16570,5
8.2,Can Baró,34,6031,5
8.1,el Guinardó,35,24108,5
10.3,la Font d'en Fargues,36,5794,5
9.9,el Carmel,37,20567,5
8.3,la Teixonera,38,7751,5
8.6,Sant Genís dels Agudells,39,4555,5
9.1,Montbau,40,3125,5
8.6,la Vall d'Hebron,41,3500,5
4.4,la Clota,42,479,5
10,Horta,43,17002,5
7.8,el Baix Guinardó,33,16570,6
8.3,Can Baró,34,6031,6
8.2,el Guinardó,35,24108,6
10.5,la Font d'en Fargues,36,5794,6
10.1,el Carmel,37,20567,6
8.3,la Teixonera,38,7751,6
8.6,Sant Genís dels Agudells,39,4555,6
9.1,Montbau,40,3125,6
8.6,la Vall d'Hebron,41,3500,6
4.4,la Clota,42,479,6
10.3,Horta,43,17002,6
7.7,el Baix Guinardó,33,16570,7
8.1,Can Baró,34,6031,7
8.1,el Guinardó,35,24108,7
10.3,la Font d'en Fargues,36,5794,7
9.9,el Carmel,37,20567,7
8.2,la Teixonera,38,7751,7
8.5,Sant Genís dels Agudells,39,4555,7
9,Montbau,40,3125,7
8.6,la Vall d'Hebron,41,3500,7
4.4,la Clota,42,479,7
10,Horta,43,17002,7
7.8,el Baix Guinardó,33,16570,8
8.3,Can Baró,34,6031,8
8.2,el Guinardó,35,24108,8
10.4,la Font d'en Fargues,36,5794,8
10,el Carmel,37,20567,8
8.4,la Teixonera,38,7751,8
8.7,Sant Genís dels Agudells,39,4555,8
9.2,Montbau,40,3125,8
8.7,la Vall d'Hebron,41,3500,8
4.5,la Clota,42,479,8
10.1,Horta,43,17002,8
7.6,el Baix Guinardó,33,16570,9
8.1,Can Baró,34,6031,9
8.1,el Guinardó,35,24108,9
10.3,la Font d'en Fargues,36,5794,9
9.9,el Carmel,37,20567,9
8.4,la Teixonera,38,7751,9
8.7,Sant Genís dels Agudells,39,4555,9
9.2,Montbau,40,3125,9
8.7,la Vall d'Hebron,41,3500,9
4.5,la Clota,42,479,9
10,Horta,43,17002,9
7.7,el Baix Guinardó,33,16570,10
8.1,Can Baró,34,6031,10
8.1,el Guinardó,35,24108,10
10.3,la Font d'en Fargues,36,5794,10
9.9,el Carmel,37,20567,10
8.3,la Teixonera,38,7751,10
8.6,Sant Genís dels Agudells,39,4555,10
9.1,Montbau,40,3125,10
8.6,la Vall d'Hebron,41,3500,10
4.4,la Clota,42,479,10
10.2,Horta,43,17002,10
7.7,el Baix Guinardó,33,16570,11
7.9,Can Baró,34,6031,11
8,el Guinardó,35,24108,11
10.1,la Font d'en Fargues,36,5794,11
9.7,el Carmel,37,20567,11
8.4,la Teixonera,38,7751,11
8.9,Sant Genís dels Agudells,39,4555,11
9.3,Montbau,40,3125,11
8.9,la Vall d'Hebron,41,3500,11
4.5,la Clota,42,479,11
10.1,Horta,43,17002,11
6,les Corts,19,28471,1
5.8,la Maternitat i Sant Ramon,20,14547,1
2.8,Pedralbes,21,7025,1
6.1,les Corts,19,28471,2
