Pes_atur,Nom_Barri,Codi_Barri,Poblacio_16_64_anys,Mes
6.2,Sants,18,28367,3
9.2,el Poble Sec,11,28836,4
13.9,la Marina del Prat Vermell,12,816,4
9.4,la Marina de Port,13,20506,4
9.6,la Font de la Guatlla,14,6897,4
7.7,Hostafrancs,15,11132,4
7.9,la Bordeta,16,12688,4
6.5,Sants - Badal,17,16163,4
7.1,Sants,18,28367,4
9.7,el Poble Sec,11,28836,5
14.8,la Marina del Prat Vermell,12,816,5
9.8,la Marina de Port,13,20506,5
10.2,la Font de la Guatlla,14,6897,5
8,Hostafrancs,15,11132,5
8.3,la Bordeta,16,12688,5
6.9,Sants - Badal,17,16163,5
7.5,Sants,18,28367,5
10,el Poble Sec,11,28836,6
15.5,la Marina del Prat Vermell,12,816,6
10.1,la Marina de Port,13,20506,6
10.5,la Font de la Guatlla,14,6897,6
8.3,Hostafrancs,15,11132,6
8.5,la Bordeta,16,12688,6
6.9,Sants - Badal,17,16163,6
7.7,Sants,18,28367,6
10.1,el Poble Sec,11,28836,7
15.2,la Marina del Prat Vermell,12,816,7
9.8,la Marina de Port,13,20506,7
10.5,la Font de la Guatlla,14,6897,7
8.1,Hostafrancs,15,11132,7
8.4,la Bordeta,16,12688,7
6.9,Sants - Badal,17,16163,7
7.5,Sants,18,28367,7
10.3,el Poble Sec,11,28836,8
15,la Marina del Prat Vermell,12,816,8
9.9,la Marina de Port,13,20506,8
10.8,la Font de la Guatlla,14,6897,8
8.3,Hostafrancs,15,11132,8
8.5,la Bordeta,16,12688,8
7,Sants - Badal,17,16163,8
7.7,Sants,18,28367,8
10.2,el Poble Sec,11,28836,9
14.3,la Marina del Prat Vermell,12,816,9
9.6,la Marina de Port,13,20506,9
10.7,la Font de la Guatlla,14,6897,9
8.1,Hostafrancs,15,11132,9
8.4,la Bordeta,16,12688,9
6.9,Sants - Badal,17,16163,9
7.5,Sants,18,28367,9
10.3,el Poble Sec,11,28836,10
15.7,la Marina del Prat Vermell,12,816,10
10,la Marina de Port,13,20506,10
10.8,la Font de la Guatlla,14,6897,10
8.2,Hostafrancs,15,11132,10
8.4,la Bordeta,16,12688,10
6.8,Sants - Badal,17,16163,10
7.6,Sants,18,28367,10
10.4,el Poble Sec,11,28836,11
15.5,la Marina del Prat Vermell,12,816,11
10,la Marina de Port,13,20506,11
10.9,la Font de la Guatlla,14,6897,11
8.1,Hostafrancs,15,11132,11
8.3,la Bordeta,16,12688,11
6.7,Sants - Badal,17,16163,11
7.5,Sants,18,28367,11
2.9,"Vallvidrera, el Tibidabo i les Planes",22,3121,1
2.9,Sarrià,23,14983,1
3.5,les Tres Torres,24,10066,1
3.7,Sant Gervasi - la Bonanova,25,15861,1
3.5,Sant Gervasi - Galvany,26,29773,1
5,el Putxet i el Farró,27,19029,1
3,"Vallvidrera, el Tibidabo i les Planes",22,3121,2
3.1,Sarrià,23,14983,2
3.6,les Tres Torres,24,10066,2
3.7,Sant Gervasi - la Bonanova,25,15861,2
3.5,Sant Gervasi - Galvany,26,29773,2
5,el Putxet i el Farró,27,19029,2
3.1,"Vallvidrera, el Tibidabo i les Planes",22,3121,3
3.2,Sarrià,23,14983,3
3.8,les Tres Torres,24,10066,3
3.9,Sant Gervasi - la Bonanova,25,15861,3
3.6,Sant Gervasi - Galvany,26,29773,3
5.4,el Putxet i el Farró,27,19029,3
3.5,"Vallvidrera, el Tibidabo i les Planes",22,3121,4
3.5,Sarrià,23,14983,4
4.3,les Tres Torres,24,10066,4
4.4,Sant Gervasi - la Bonanova,25,15861,4
4.2,Sant Gervasi - Galvany,26,29773,4
6.2,el Putxet i el Farró,27,19029,4
3.7,"Vallvidrera, el Tibidabo i les Planes",22,3121,5
3.7,Sarrià,23,14983,5
4.5,les Tres Torres,24,10066,5
4.6,Sant Gervasi - la Bonanova,25,15861,5
4.4,Sant Gervasi - Galvany,26,29773,5
6.4,el Putxet i el Farró,27,19029,5
3.8,"Vallvidrera, el Tibidabo i les Planes",22,3121,6
3.7,Sarrià,23,14983,6
4.5,les Tres Torres,24,10066,6
4.7,Sant Gervasi - la Bonanova,25,15861,6
4.5,Sant Gervasi - Galvany,26,29773,6
6.6,el Putxet i el Farró,27,19029,6
3.8,"Vallvidrera, el Tibidabo i les Planes",22,3121,7
3.8,Sarrià,23,14983,7
4.5,les Tres Torres,24,10066,7
4.7,Sant Gervasi - la Bonanova,25,15861,7
4.5,Sant Gervasi - Galvany,26,29773,7
6.5,el Putxet i el Farró,27,19029,7
3.8,"Vallvidrera, el Tibidabo i les Planes",22,3121,8
3.9,Sarrià,23,14983,8
4.6,les Tres Torres,24,10066,8
4.8,Sant Gervasi - la Bonanova,25,15861,8
4.6,Sant Gervasi - Galvany,26,29773,8
6.6,el Putxet i el Farró,27,19029,8
3.8,"Vallvidrera, el Tibidabo i les Planes",22,3121,9
3.8,Sarrià,23,14983,9
4.6,les Tres Torres,24,10066,9
4.6,Sant Gervasi - la Bonanova,25,15861,9
4.5,Sant Gervasi - Galvany,26,29773,9
6.5,el Putxet i el Farró,27,19029,9
3.8,"Vallvidrera, el Tibidabo i les Planes",22,3121,10
3.8,Sarrià,23,14983,10
4.6,les Tres Torres,24,10066,10
4.5,Sant Gervasi - la Bonanova,25,15861,10
4.5,Sant Gervasi - Galvany,26,29773,10
6.5,el Putxet i el Farró,27,19029,10
3.8,"Vallvidrera, el Tibidabo i les Planes",22,3121,11
3.8,Sarrià,23,14983,11
4.6,les Tres Torres,24,10066,11
4.6,Sant Gervasi - la Bonanova,25,15861,11
4.6,Sant Gervasi - Galvany,26,29773,11
6.5,el Putxet i el Farró,27,19029,11
