,Numero_expedient,Dia_setmana,NK_Any,Mes_any,Nom_mes,Dia_mes,Hora_dia,Descripcio_torn,Descripcio_tipus_vehicle,Descripcio_model,Descripcio_marca,Descripcio_color,Descripcio_carnet,Antiguitat_carnet
98,2019S009264    ,Ds,2019,11,Novembre,30,4,Nit,Furgoneta,NUEVO BERLINGO VAN TAL,CITROEN,Blanc,B,32
99,2019S007489    ,Dg,2019,9,Setembre,29,17,Tarda,Motocicleta,AGILITY 125,KYMCO,Blau,A,32
100,2019S007489    ,Dg,2019,9,Setembre,29,17,Tarda,Turisme,320D,BMW,Blanc,B,9
101,2019S002935    ,Ds,2019,4,Abril,13,13,Matí,Turisme,CADDY,VOLKSWAGEN,Negre/Groc,B,11
102,2019S005759    ,Ds,2019,7,Juliol,20,1,Nit,Bicicleta,Desconegut,Desconegut,Verd,Desconegut,Desconegut
103,2019S005759    ,Ds,2019,7,Juliol,20,1,Nit,Turisme,Desconegut,MERCEDES,Negre,Desconegut,Desconegut
104,2019S005301    ,Dj,2019,7,Juliol,4,17,Tarda,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut
105,2019S003909    ,Dl,2019,5,Maig,20,15,Tarda,Furgoneta,COMBO C VAN,OPEL,Desconegut,B,Desconegut
106,2019S003909    ,Dl,2019,5,Maig,20,15,Tarda,Veh. mobilitat personal sense motor,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut
107,2019S003738    ,Dc,2019,5,Maig,15,8,Matí,Ciclomotor,NSP 50 4T,PIAGGIO,Vermell,AM,13
108,2019S003738    ,Dc,2019,5,Maig,15,8,Matí,Turisme,MICRA,NISSAN,granate,B,34
109,2019S006987    ,Dl,2019,9,Setembre,9,12,Matí,"Camió rígid > 3,5 tones",FLL 42 240,VOLVO,Blanc,C,18
110,2019S009387    ,Dj,2019,12,Desembre,5,11,Matí,Taxi,TOLEDO,SEAT,Negre/Groc,B,30
111,2019S009387    ,Dj,2019,12,Desembre,5,11,Matí,Turisme,V90 CROSS COUNTRY,VOLVO,Blau,B,30
112,2019S006607    ,Ds,2019,8,Agost,24,22,Nit,Motocicleta,PES125,HONDA,Gris,B,13
113,2019S006607    ,Ds,2019,8,Agost,24,22,Nit,Turisme,CIVIC,HONDA,Blau,B,32
114,2019S002314    ,Dl,2019,3,Març,25,11,Matí,Turisme,C4,CITROEN,Blanc,B,32
115,2019S008912    ,Dl,2019,11,Novembre,18,17,Tarda,Motocicleta,WW125EX,HONDA,Blanc,B,21
116,2019S006860    ,Dc,2019,9,Setembre,4,15,Tarda,Turisme,A3 SPORTBACK,AUDI,Gris,Desconegut,Desconegut
117,2019S006860    ,Dc,2019,9,Setembre,4,15,Tarda,Turisme,TOYOTA PRIUS PLUS,TOYOTA,Negre/Groc,B,16
118,2019S008606    ,Dc,2019,11,Novembre,6,22,Nit,Motocicleta,SH 125,HONDA,Negre,B,16
119,2019S008606    ,Dc,2019,11,Novembre,6,22,Nit,Turisme,Crossland X,OPEL,Gris,Desconegut,Desconegut
120,2019S001267    ,Dg,2019,2,Febrer,17,11,Matí,Ciclomotor,SHADOW,HONDA,Negre,Desconegut,Desconegut
121,2019S001267    ,Dg,2019,2,Febrer,17,11,Matí,Motocicleta,LIBERTY,PIAGGIO,Blanc,Desconegut,Desconegut
122,2019S001267    ,Dg,2019,2,Febrer,17,11,Matí,Turisme,XSARA,CITROEN,Gris,Desconegut,Desconegut
123,2019S007329    ,Dl,2019,9,Setembre,23,12,Matí,"Camió rígid <= 3,5 tones",Desconegut,Desconegut,Desconegut,Desconegut,Desconegut
124,2019S009382    ,Dc,2019,12,Desembre,4,22,Nit,Turisme,Desconegut,MERCEDES,Negre,Desconegut,Desconegut
125,2019S003067    ,Dl,2019,4,Abril,22,4,Nit,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut
126,2019S003067    ,Dl,2019,4,Abril,22,4,Nit,Turisme,RAPID,SKODA,Desconegut,B,9
127,2019S007462    ,Ds,2019,9,Setembre,28,12,Matí,Bicicleta,Desconegut,Desconegut,Gris,Sense permís,Desconegut
128,2019S002500    ,Dg,2019,3,Març,31,11,Matí,Taxi,RAPID,SKODA,Negre/Groc,B,4
129,2019S006009    ,Dl,2019,7,Juliol,29,11,Matí,Turisme,MODEL X,TESLA,Blanc,B,37
130,2019S001498    ,Dl,2019,2,Febrer,25,12,Matí,Turisme,A 180,MERCEDES,Blanc,B,1
131,2019S000840    ,Dj,2019,1,Gener,31,11,Matí,Turisme,XSARA,CITROEN,Gris,Desconegut,Desconegut
132,2019S006185    ,Dv,2019,8,Agost,2,20,Tarda,Bicicleta,Desconegut,BICING,Vermell,Desconegut,Desconegut
133,2019S007922    ,Dj,2019,10,Octubre,10,19,Tarda,Taxi,TOYOTA PRIUS PLUS,TOYOTA,Negre/Groc,B,8
134,2019S001061    ,Ds,2019,2,Febrer,9,21,Tarda,Motocicleta,AGILITY 125,KYMCO,Negre,B,29
135,2019S001061    ,Ds,2019,2,Febrer,9,21,Tarda,Turisme,PRIUS,TOYOTA,Blanc,B,10
136,2019S009970    ,Dv,2019,12,Desembre,27,10,Matí,Autobús articulat,Desconegut,IVECO BUS,Vermell,E B,23
137,2019S009970    ,Dv,2019,12,Desembre,27,10,Matí,Motocicleta,STORM,WOTTAN,Negre,B,14
138,2019S005841    ,Dm,2019,7,Juliol,23,12,Matí,Ciclomotor,JET 14 50,S.Y.M,Desconegut,AM,23
