,Numero_expedient,Dia_setmana,NK_Any,Mes_any,Nom_mes,Dia_mes,Hora_dia,Descripcio_torn,Descripcio_tipus_vehicle,Descripcio_model,Descripcio_marca,Descripcio_color,Descripcio_carnet,Antiguitat_carnet
211,2019S006275    ,Dc,2019,8,Agost,7,9,Matí,Furgoneta,BOXER,PEUGEOT,Blanc,B,4
212,2019S006275    ,Dc,2019,8,Agost,7,9,Matí,Turisme,SANDERO,DACIA,Gris,B,3
213,2019S006275    ,Dc,2019,8,Agost,7,9,Matí,Turisme,TRANSIT,FORD,Desconegut,B,30
214,2019S008884    ,Dg,2019,11,Novembre,17,12,Matí,Ciclomotor,SYMPHONY,SYM,Negre,AM,13
215,2019S008884    ,Dg,2019,11,Novembre,17,12,Matí,Turisme,FABIA,SKODA,Blanc,B,29
216,2019S007807    ,Dc,2019,10,Octubre,9,14,Tarda,Taxi,CADDY,VOLKSWAGEN,Negre/Groc,B,6
217,2019S006671    ,Dm,2019,8,Agost,27,20,Tarda,Bicicleta,Desconegut,RIDE,Violeta,B,2
218,2019S006671    ,Dm,2019,8,Agost,27,20,Tarda,Furgoneta,NISSAN NV200,NISSAN,Blanc,B,16
219,2019S005822    ,Dl,2019,7,Juliol,22,18,Tarda,Motocicleta,MT 07,YAMAHA,Negre,A,3
220,2019S005822    ,Dl,2019,7,Juliol,22,18,Tarda,Turisme,FIESTA,FORD,Negre,B,20
221,2019S000656    ,Dj,2019,1,Gener,24,20,Tarda,Motocicleta,Sport City,APRILIA,Gris,B,12
222,2019S000656    ,Dj,2019,1,Gener,24,20,Tarda,Turisme,QASHQAI,NISSAN,Blanc,B,35
223,2019S009084    ,Ds,2019,11,Novembre,23,19,Tarda,Ciclomotor,YQ50,YAMAHA,Desconegut,AM,11
224,2019S009084    ,Ds,2019,11,Novembre,23,19,Tarda,Motocicleta,SUPERLIGHT,KEEWAY,Desconegut,Desconegut,Desconegut
225,2019S009084    ,Ds,2019,11,Novembre,23,19,Tarda,Motocicleta,YP250R,YAMAHA,Desconegut,Desconegut,Desconegut
226,2019S009084    ,Ds,2019,11,Novembre,23,19,Tarda,Veh. mobilitat personal amb motor,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut
227,2019S006251    ,Dm,2019,8,Agost,6,8,Matí,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut
228,2019S006251    ,Dm,2019,8,Agost,6,8,Matí,Furgoneta,CONNECT,FORD,Blanc,B,31
229,2019S003898    ,Dm,2019,5,Maig,21,8,Matí,Furgoneta,DUCATO,FIAT,Blanc,B,8
230,2019S001794    ,Dj,2019,3,Març,7,9,Matí,Furgoneta,35C,IVECO FIAT,Blanc,B,6
231,2019S001794    ,Dj,2019,3,Març,7,9,Matí,Turisme,A3,AUDI,Negre,B,24
232,2019S007855    ,Dj,2019,10,Octubre,10,18,Tarda,Motocicleta,SH 125,HONDA,Gris,B,10
233,2019S007855    ,Dj,2019,10,Octubre,10,18,Tarda,Motocicleta,XP500,YAMAHA,Negre,A,9
234,2019S008511    ,Dl,2019,11,Novembre,4,11,Matí,Turisme,FOCUS FAMILIAR 1.6,FORD,Blau,B,16
235,2019S000177    ,Dm,2019,1,Gener,8,12,Matí,Turisme,Superb,SKODA,Negre,B,33
236,2019S004078    ,Dg,2019,5,Maig,26,20,Tarda,Turisme,JAZZ 1.4 ES I-DSI,HONDA,Blau,B,5
237,2019S008343    ,Dl,2019,10,Octubre,28,19,Tarda,Veh. mobilitat personal sense motor,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut
238,2019S001406    ,Dv,2019,2,Febrer,22,6,Matí,Turisme,C-ELYSEE E,CITROEN,Gris,B,24
239,2019S000507    ,Ds,2019,1,Gener,19,23,Nit,Motocicleta,SUPER DINK 125,KYMCO,Gris,B,7
240,2019S000507    ,Ds,2019,1,Gener,19,23,Nit,Turisme,QASHQAI,NISSAN,Blanc,B,9
241,2019S004319    ,Dg,2019,6,Juny,2,22,Nit,Motocicleta,XCITING 400 ABS,KYMCO,Blanc,B,21
242,2019S004319    ,Dg,2019,6,Juny,2,22,Nit,Turisme,3008 GT LINE PURETECH,PEUGEOT,Gris,B,30
243,2019S000146    ,Dl,2019,1,Gener,7,17,Tarda,Turisme,MEGANE SCE,RENAULT,Negre,Desconegut,Desconegut
244,2019S003369    ,Dj,2019,5,Maig,2,17,Tarda,Furgoneta,DOBLO,FIAT,Blanc,B,6
245,2019S003369    ,Dj,2019,5,Maig,2,17,Tarda,Turisme,C MAX,FORD,Blanc,B,18
246,2019S005929    ,Dv,2019,7,Juliol,26,9,Matí,Motocicleta,UX 125,SUZUKI,Negre,B,20
247,2019S003334    ,Dc,2019,5,Maig,1,8,Matí,Maquinària d'obres i serveis,540,RAVO,Blanc,B,37
248,2019S004599    ,Dc,2019,6,Juny,12,10,Matí,Ciclomotor,SH 50,HONDA,Negre,B,4
249,2019S007816    ,Dc,2019,10,Octubre,9,19,Tarda,Motocicleta,K-LIGHT 125,KEEWAY,Gris,B,11
250,2019S007816    ,Dc,2019,10,Octubre,9,19,Tarda,Turisme,GLA 200 D,MERCEDES-BENZ,Blanc,B,16
251,2019S008042    ,Dj,2019,10,Octubre,17,14,Tarda,Ciclomotor,SPEEDFIGHT,PEUGEOT,Gris,AM,54
252,2019S008042    ,Dj,2019,10,Octubre,17,14,Tarda,Taxi,TOYOTA PRIUS PLUS,TOYOTA,Negre/Groc,B,31
253,2019S003346    ,Dc,2019,5,Maig,1,21,Tarda,Turisme,CAPTUR,RENAULT,Gris,B,1
254,2019S003346    ,Dc,2019,5,Maig,1,21,Tarda,Turisme,CEE D,KIA,Negre,B,4
255,2019S007681    ,Ds,2019,10,Octubre,5,14,Tarda,Motocicleta,SYMPHONY 125 S,S.Y.M,Gris,A1,1
