id;streetName;streetNumber
250;Portugal;3
251;Cardenal Tedeschini;13
252;Rambla Onze de Setembre;31
253;Onze de Setembre;37
254;Gran de Sant Andreu;69
255;Irlanda;11
256;Malats;28
257;Sant Adrii ;2
258;Fernando Pessoa;41
259;Carrer de Bartrina;14
260;Plai§a de l'Estacii³;6
261;Villarroel;39
262;Rocafort;103
263;Pg.Torras i Bages;29
264;Repiºblica Dominicana;25
265;Casanovas;67
266;Concepcii³ Arenal;176
267;Passeig Torras i Bages;129
268;Fernando Pessoa;72
269;Via Barcino;121
270;Crta. de Ribes (Trinitat Vella);77
271;Via Barcino;69
272;Concepcii³ Arenal;281
273;Avda. Meridiana;404
274;Rambla Fabra i Puig;67
275;Rio de Janeiro;3
276;Plai§a Alfons X el Savi / Ronda del Guinardi³;NA
277;Travessera de Gri cia;328
278;Travessera de Gri cia;368
279;Mas Casanovas;137
280;Sant Antoni MÂª Claret;290
281;Escornalbou;51
282;Font d'en Fargas;1
283;Carrer Fulton;1
284;Ada. Diagonal;652
285;Malats;98
286;Boli­via;76
287;Gran Via;632
288;Pl. Virrei Amat;NA
289;Miºrcia;64
290;Plai§a dels Jardins d'Alfi bia;1
291;Cubelles;2
292;Amilcar;1
293;Granollers;1
294;Seu del Districte (Nou Barris);NA
295;Sant Iscle;60
296;Carrer de Rosselli³ i Porcel;1
297;Carrer Turi³ Blau;1
298;Andreu Nin;22
299;Carrer de l'Escultor Ordi³i±ez;55
300;Carrer de Maladeta;1
301;Marie Curie;8
302;Cavallers;41
303;Cavallers;67
304;Manuel Girona;7
305;Diagonal;680
306;Doctor Salvador Cardenal;7
307;Pintor Ribalta;NA
308;Cardenal Reig;11
309;Sant Rami³n Nonat;26
310;Josep Samitier;NA
311;Gallego-Ari­stides Maillol;2
312;Arizala;77
313;Feliu de Casanova;1
314;Rambla del Brasil;44
315;Guinardi³;32
316;Canti bria;55
317;Rambla Prim;256
318;Cartagena;83
319;Sagui¨s;1
320;Vi­a Augusta;21
321;Carrer de Sant Hermenegild;30
322;Santali³;165
323;Vallmajor;13
324;Reina Victoria;31
325;Alt de Gironella;13
326;Balmes;409
327;Reus;23
328;Artesa de Segre;2
329;Carrer de les Escoles Pies;99
330;Doctor Carulla;44
331;Castellnou;65
332;Doctor Roux;86
333;Passatge de Senillosa;3
334;Via Augusta;348
335;Santa Ami¨lia;2
336;Caponata;10
337;Carme Karr;12
338;Avinguda de J.Foix;63
339;Ramon Turri³;246
340;Sant Adrii ;113
341;Passeig Enric Sanchi­s;33
342;Roc Boronat;134
343;Campana de la Maquinista;NA
344;Ciutat d'Asuncii³n;73
345;Pl. Teresa de Claramunt;NA
346;Carrer de la Foneria;33
347;Alts Forns;77
348;Jardins de Can Ferrero;NA
349;Carrer de l'Energia;2
350;Villarroel;208
351;Jane Addams;26
352;Radi;10
353;Munni©;6
354;Rambla del Brasil;5
355;Carreras i Candi;89
356;Cami¨lies;73
357;Cardener;82
358;Gombau;24
359;Mi©ndez Niºi±ez;16
360;Baili©n;62
361;Passeig de Colom;NA
362;Baili©n;100
363;Bruc;20
364;Passeig de Gri cia;61
365;Viladomat;244
366;Pau Casals;1
367;Sentmenat;39
368;Diputacii³;350
369;Consell de Cent;482
370;Sardenya;234
371;Carrer dels Enamorats;49
372;Ribes;77
373;Av. Paral.lel;132
374;Passeig de Gri cia;89
375;World Trade Center;NA
376;World Trade Center;NA
377;Pl. Icti­neo;NA
378;Pl.Joaquim Xira i Palau;1
379;Pl. Sant Miquel;4
380;Duran i Bas;2
381;Agusti­ Duran i Sanpere;10
382;Lope de Vega;79
384;Vilamari­;85
385;Casanova;119
386;Av.Paral.lel;164
387;Ni pols;125
388;Riera Alta;6
389;Recinte Parc de la Ciutadella;NA
390;Comeri§;36
391;Sagrera;74
392;Ramon Turri³;4
393;Llacuna;86
394;Diputacii³;226
395;Pl. Catalunya;22
396;Joan Miri³;2
397;Av. Del Litoral;24
398;Passeig Mari­tim de la Barceloneta;NA
400;Moll Oriental;NA
401;Pl. Antonio Li³pez (Via Laietana) annexa a la 37;NA
402;Passeig de Colom;NA
404;Juan Gris;28
405;Comte Borrell;198
406;Gran Via de Les Corts Catalanes;592
407;Ramon Trias Fargas;19
408;Villena, 11;11
409;Joan d'i€ustria;31 B
410;Passeig de Colom, s/n;NA
412;Pl. Urquinaona;3
413;Bruc;66
414;Casp;67
415;Rambla del Raval;13
416;Rambla del Raval;20
418;Passeig de Llui­s Companys;NA
419;Passeig de Llui­s Companys;NA
420;Gran Via;361
421;Plai§a de Joan Peiri³;NA
423;Carrer d'Hondures;32
424;Passeig Mari­tim de la Barceloneta, devant del 5-7;5
425;Carrer de Cervelli³;5
426;Carrer de Ribes;59
427;Carrer de Sant Pau;119
428;Carrer Pujades;103
451;(PK) C/ JAUME FABRA;12
452;(PK) C/ PADILLA;159
453;(PK) C/ URGELL;14
454;(PK) C/ BILBAO;24
455;(PK) AV. DEL LITORAL;34
456;(PK) C/ DE FLOS I CALCAT;2
457;(PK) C/ DE JOSEP BALARi;2
458;(PK) AV. JOAN XXIII;23-25
459;(PK) C/ D'ALi BEI;54
460;(PK) AV. FRANCESC CAMBi“;10
461;(PK) AV. JOSEP TARRADELLAS;46
462;(PK) AV. JOSEP TARRADELLAS;139
463;(PK) C/ DE LÂ´ABAT SAFONT;2
464;(PK) C/ DE RAMON ALBi“, 77s;77
465;(PK) RDA. DEL GENERAL MITRE;203
466;(PK) PG. MARAGALL;54
467;(PK) C/ DEL DR. AIGUADER;86-88
468;(PK) C/ DE LES MONGES;2
469;(PK) RAMBLA DEL POBLENOU;130
470;(PK) C/ CARDENAL DE SENTMENAT;8
471;(PK) C/ MARQUiˆS DE MULHACi‰N;51
472;(PK) C/ DEL TORRENT DE LÂ´OLLA;221
473;(PK) PG. DE GARCIA Fi€RIA;71
474;(PK) PL. GAl.LA PLACiDIA;2
475;(PK) C/ DE LA MARINA;345
476;(PK) C/ DE BADAJOZ;168
477;(PK) PG. DE COLOM;1
478;(PK) C/ DEL BALUARD;27
479;(PK) C/ DE LA MARINA;13-17
480;(PK) C/ DELS FLORISTES DE LA RAMBLA;8
481;(PK) C/ DE VALiˆNCIA;77
482;(PK) PL. D'ERNEST LLUCH I MARTIN;SN
483;(PK) C/ DE SIRACUSA;39-51
484;(PK) RAMBLA CATALUNYA - RDA. UNIVERSITAT;SN
485;(PK) PLAi‡A URQUINAONA;SN
486;(PK) PG. DE GRi€CIA - DIAGONAL;NA
487;(PK) PL. DE FERRER I CAJIGAL;NA
488;(PK) C/ DE CIENFUEGOS;13
489;(PK) PLAi‡A CANONGE RODi“;SN
491;(PK) C/ DE CARRERAS I CANDI;65
492;PL. DE TETUAN;08-sept
493;PL. SANT MIQUEL;4
494;RAMBLA CATALUNYA;31
495;C/ DIPUTACIi“ - TARRAGONA;SN
496;C/ DE PROVENi‡A;445
