"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Edat any a any","Nombre"
2015,2,"Eixample",5,"el Fort Pienc","Home","1 any",120
2015,2,"Eixample",6,"la Sagrada Família","Home","1 any",151
2015,2,"Eixample",7,"la Dreta de l'Eixample","Home","1 any",210
2015,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home","1 any",174
2015,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Home","1 any",205
2015,2,"Eixample",10,"Sant Antoni","Home","1 any",161
2015,3,"Sants-Montjuïc",11,"el Poble Sec","Home","1 any",191
2015,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Home","1 any",7
2015,3,"Sants-Montjuïc",13,"la Marina de Port","Home","1 any",131
2015,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Home","1 any",38
2015,3,"Sants-Montjuïc",15,"Hostafrancs","Home","1 any",77
2015,3,"Sants-Montjuïc",16,"la Bordeta","Home","1 any",64
2015,3,"Sants-Montjuïc",17,"Sants - Badal","Home","1 any",84
2015,3,"Sants-Montjuïc",18,"Sants","Home","1 any",183
2015,4,"Les Corts",19,"les Corts","Home","1 any",179
2015,4,"Les Corts",20,"la Maternitat i Sant Ramon","Home","1 any",99
2015,4,"Les Corts",21,"Pedralbes","Home","1 any",33
2015,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Home","1 any",34
2015,5,"Sarrià-Sant Gervasi",23,"Sarrià","Home","1 any",149
2015,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Home","1 any",86
2015,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Home","1 any",107
2015,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Home","1 any",199
2015,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Home","1 any",150
2015,6,"Gràcia",28,"Vallcarca i els Penitents","Home","1 any",64
2015,6,"Gràcia",29,"el Coll","Home","1 any",33
2015,6,"Gràcia",30,"la Salut","Home","1 any",63
2015,6,"Gràcia",31,"la Vila de Gràcia","Home","1 any",235
2015,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Home","1 any",150
2015,7,"Horta-Guinardó",33,"el Baix Guinardó","Home","1 any",103
2015,7,"Horta-Guinardó",34,"Can Baró","Home","1 any",24
2015,7,"Horta-Guinardó",35,"el Guinardó","Home","1 any",151
2015,7,"Horta-Guinardó",36,"la Font d'en Fargues","Home","1 any",29
2015,7,"Horta-Guinardó",37,"el Carmel","Home","1 any",142
2015,7,"Horta-Guinardó",38,"la Teixonera","Home","1 any",51
2015,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Home","1 any",28
2015,7,"Horta-Guinardó",40,"Montbau","Home","1 any",7
2015,7,"Horta-Guinardó",41,"la Vall d'Hebron","Home","1 any",26
