,Id,District Name,Neighborhood Name,Street,Weekday,Month,Day,Hour,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved,Longitude,Latitude
10232,2017S007839    ,Nou Barris,la Prosperitat,Meridiana                                         ,Friday,September,22,2,Night,0,0,0,2,2.185837,41.443360999999996
10291,2017S007921    ,Sant Andreu,Navas,Maragall / Aloi                                   ,Monday,September,25,3,Night,0,0,0,2,2.180409,41.41754
240,2017S010633    ,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Laietana                                          ,Sunday,December,24,14,Afternoon,1,0,1,2,2.174919,41.387003
397,2017S010637    ,Eixample,l'Antiga Esquerra de l'Eixample,Consell de Cent / Enric Granados                  ,Sunday,December,24,16,Afternoon,1,0,1,1,2.161854,41.38819
757,2017S010631    ,Les Corts,les Corts,Comtes de Bell-lloc / Centre                      ,Sunday,December,24,9,Morning,1,0,1,1,2.136263,41.382059000000005
913,2017S010653    ,Sarrià-Sant Gervasi,Sarrià,Dalt (Llobregat)                                  ,Monday,December,25,14,Afternoon,4,0,4,2,2.1134020000000002,41.400290999999996
1111,2017S010636    ,Horta-Guinardó,el Baix Guinardó,Padilla / Guinardó                                ,Sunday,December,24,17,Afternoon,1,0,1,1,2.168192,41.412596
1354,2017S010654    ,Sant Martí,el Poblenou,B-10 (Besòs)                                      ,Monday,December,25,19,Afternoon,2,0,2,2,2.204965,41.394263
2595,2017S010641    ,Sant Martí,Provençals del Poblenou,Diagonal / Bac de Roda                            ,Sunday,December,24,20,Afternoon,1,0,1,1,2.2039619999999998,41.407568
2711,2017S010644    ,Ciutat Vella,el Barri Gòtic,Litoral (Llobregat)                               ,Monday,December,25,6,Morning,0,0,0,1,2.20493,41.444642
2912,2017S010630    ,Eixample,l'Antiga Esquerra de l'Eixample,Diputació / Villarroel                            ,Sunday,December,24,1,Night,1,0,1,2,2.15846,41.383924
3241,2017S010645    ,Sants-Montjuïc,Sants - Badal,Carles III / Madrid                               ,Sunday,December,24,19,Afternoon,1,0,1,2,2.129084,41.379363
3491,2017S010638    ,Sarrià-Sant Gervasi,el Putxet i el Farró,General Mitre                                     ,Sunday,December,24,19,Afternoon,2,0,2,3,2.146529,41.405595
3799,2017S010628    ,Sant Martí,el Camp de l'Arpa del Clot,Las Navas de Tolosa / Meridiana                   ,Sunday,December,24,0,Night,2,0,2,2,2.18689,41.415288000000004
4031,2017S010635    ,Ciutat Vella,el Barri Gòtic,Laietana                                          ,Sunday,December,24,17,Afternoon,0,0,0,2,2.175169,41.386449
4154,2017S010639    ,Eixample,la Dreta de l'Eixample,Gràcia / Provença                                 ,Sunday,December,24,18,Afternoon,1,0,1,2,2.1616,41.394818
