,District Name,Weekday,Month,Day,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved
8932,Nou Barris,Sunday,June,25,Night,1,0,1,1
8933,Nou Barris,Wednesday,May,3,Morning,2,0,2,2
8934,Nou Barris,Saturday,November,11,Afternoon,3,0,3,3
8935,Nou Barris,Wednesday,July,5,Morning,1,0,1,1
8936,Nou Barris,Thursday,November,30,Afternoon,1,0,1,2
8937,Nou Barris,Friday,May,12,Afternoon,1,0,1,2
8938,Nou Barris,Saturday,September,16,Afternoon,1,0,1,1
8939,Nou Barris,Sunday,May,21,Afternoon,1,0,1,2
8940,Nou Barris,Sunday,November,12,Afternoon,1,0,1,2
8941,Nou Barris,Thursday,April,27,Afternoon,1,0,1,2
8942,Nou Barris,Thursday,September,14,Afternoon,1,0,1,1
8943,Nou Barris,Monday,March,27,Morning,1,0,1,1
8944,Nou Barris,Friday,June,9,Afternoon,1,0,1,2
8945,Nou Barris,Saturday,August,12,Night,1,0,1,2
8947,Nou Barris,Sunday,December,17,Afternoon,1,0,1,2
8948,Nou Barris,Wednesday,December,13,Morning,1,0,1,3
8949,Nou Barris,Monday,August,28,Morning,2,0,2,2
8950,Nou Barris,Wednesday,February,15,Afternoon,1,0,1,4
8951,Nou Barris,Thursday,May,25,Afternoon,1,0,1,2
8952,Nou Barris,Thursday,August,17,Afternoon,1,0,1,2
8953,Nou Barris,Friday,May,5,Morning,1,0,1,1
8955,Nou Barris,Tuesday,October,31,Afternoon,0,1,1,1
8956,Nou Barris,Thursday,June,8,Afternoon,0,1,1,2
8958,Nou Barris,Friday,May,12,Afternoon,1,0,1,2
8959,Nou Barris,Friday,August,25,Morning,0,0,0,2
8960,Nou Barris,Wednesday,January,18,Morning,1,0,1,3
8961,Nou Barris,Saturday,November,25,Afternoon,2,0,2,3
8962,Nou Barris,Wednesday,November,8,Afternoon,1,0,1,2
8963,Nou Barris,Saturday,September,16,Night,1,0,1,1
8964,Nou Barris,Tuesday,September,5,Morning,1,0,1,3
8965,Nou Barris,Thursday,February,2,Afternoon,1,0,1,1
8966,Nou Barris,Thursday,January,5,Afternoon,1,0,1,1
8967,Nou Barris,Wednesday,January,18,Afternoon,1,0,1,2
8968,Nou Barris,Saturday,January,14,Afternoon,1,0,1,2
8969,Nou Barris,Saturday,April,22,Afternoon,1,0,1,2
8970,Sant Andreu,Saturday,June,10,Morning,2,0,2,4
8971,Sant Andreu,Tuesday,June,20,Afternoon,1,0,1,2
8972,Sant Andreu,Sunday,July,2,Night,2,0,2,1
8973,Sant Andreu,Thursday,March,9,Afternoon,1,0,1,2
8974,Sant Andreu,Wednesday,November,29,Afternoon,2,0,2,1
8975,Sant Andreu,Sunday,January,29,Afternoon,3,0,3,1
8976,Sant Andreu,Friday,December,1,Afternoon,1,0,1,1
8977,Sant Andreu,Tuesday,April,18,Morning,1,0,1,1
8978,Sant Andreu,Thursday,November,23,Afternoon,1,0,1,3
8979,Sant Andreu,Sunday,April,9,Morning,1,0,1,2
8980,Sant Andreu,Saturday,December,23,Night,0,0,0,2
8981,Sant Andreu,Wednesday,November,15,Afternoon,1,0,1,1
8982,Sant Andreu,Sunday,May,21,Afternoon,2,0,2,2
8983,Sant Andreu,Thursday,June,15,Morning,0,0,0,1
8984,Sant Andreu,Friday,February,3,Afternoon,1,0,1,1
8985,Sant Andreu,Wednesday,August,30,Night,1,0,1,1
8986,Sant Andreu,Friday,December,1,Morning,1,0,1,1
8987,Sant Andreu,Wednesday,April,19,Afternoon,1,0,1,2
8988,Sant Andreu,Thursday,May,18,Afternoon,1,0,1,1
8989,Sant Andreu,Wednesday,May,10,Afternoon,1,0,1,2
8990,Sant Andreu,Friday,February,10,Afternoon,1,0,1,2
8991,Sant Andreu,Friday,July,7,Night,0,1,1,2
8992,Sant Andreu,Sunday,January,8,Morning,2,0,2,1
8993,Sant Andreu,Sunday,March,26,Afternoon,1,0,1,2
8994,Sant Andreu,Friday,March,31,Morning,0,0,0,2
8995,Sant Andreu,Wednesday,July,5,Afternoon,1,0,1,1
8996,Sant Andreu,Friday,February,24,Afternoon,1,0,1,2
8997,Sant Andreu,Wednesday,April,5,Afternoon,0,0,0,2
8998,Sant Andreu,Saturday,July,1,Afternoon,5,0,5,3
8999,Sant Andreu,Sunday,December,10,Afternoon,1,0,1,2
9000,Sant Andreu,Tuesday,August,8,Morning,0,0,0,3
9001,Sant Andreu,Wednesday,September,13,Morning,1,0,1,2
9002,Sant Andreu,Friday,February,24,Afternoon,1,0,1,1
9003,Sant Andreu,Friday,June,9,Afternoon,1,0,1,2
9004,Sant Andreu,Wednesday,April,26,Afternoon,1,0,1,2
9005,Sant Andreu,Monday,January,23,Afternoon,1,0,1,2
9006,Sant Andreu,Friday,October,20,Morning,1,0,1,5
9007,Sant Andreu,Monday,October,2,Afternoon,1,0,1,2
9008,Sant Andreu,Wednesday,November,15,Afternoon,1,0,1,2
9009,Sant Andreu,Tuesday,June,27,Morning,1,0,1,2
9010,Sant Andreu,Saturday,January,14,Night,1,0,1,1
9011,Sant Andreu,Wednesday,October,4,Morning,2,0,2,2
9012,Sant Andreu,Thursday,July,20,Afternoon,1,0,1,2
9013,Sant Andreu,Tuesday,August,1,Night,1,0,1,1
9014,Sant Andreu,Thursday,August,31,Afternoon,2,0,2,3
9015,Sant Andreu,Saturday,March,25,Afternoon,2,0,2,1
9016,Sant Andreu,Tuesday,November,21,Morning,1,0,1,2
9019,Sant Andreu,Tuesday,July,11,Morning,1,0,1,2
9020,Sant Andreu,Thursday,August,10,Afternoon,1,0,1,2
9022,Sant Andreu,Tuesday,July,18,Afternoon,2,0,2,2
9023,Sant Andreu,Friday,June,30,Morning,2,0,2,2
9024,Sant Andreu,Monday,February,6,Morning,2,0,2,2
9025,Sant Andreu,Monday,September,4,Afternoon,1,0,1,1
9026,Sant Andreu,Wednesday,November,15,Morning,1,0,1,3
9027,Sant Andreu,Thursday,November,23,Afternoon,1,0,1,2
9028,Sant Andreu,Monday,November,6,Afternoon,3,0,3,3
9029,Sant Andreu,Thursday,May,11,Afternoon,2,0,2,2
9030,Sant Andreu,Tuesday,February,28,Afternoon,1,0,1,1
9031,Sant Andreu,Tuesday,July,4,Morning,0,0,0,1
9032,Sant Andreu,Wednesday,October,11,Afternoon,1,0,1,2
9033,Sant Andreu,Saturday,April,8,Night,0,0,0,1
9034,Sant Andreu,Friday,May,19,Morning,1,0,1,2
9035,Sant Andreu,Friday,February,10,Afternoon,1,0,1,2
9036,Sant Andreu,Thursday,July,27,Afternoon,1,0,1,2
9037,Sant Andreu,Friday,March,17,Afternoon,1,0,1,1
9038,Sant Andreu,Monday,May,8,Afternoon,0,0,0,2
9039,Sant Andreu,Monday,May,15,Afternoon,1,0,1,2
9040,Sant Andreu,Saturday,March,18,Afternoon,2,0,2,2
9041,Sant Andreu,Saturday,March,4,Afternoon,1,0,1,2
9042,Sant Andreu,Tuesday,July,25,Afternoon,1,0,1,2
9043,Sant Andreu,Thursday,April,6,Afternoon,0,0,0,3
9044,Sant Andreu,Monday,June,26,Afternoon,1,0,1,2
9045,Sant Andreu,Saturday,November,11,Afternoon,1,0,1,2
9046,Unknown,Tuesday,September,26,Afternoon,1,0,1,3
9047,Sant Martí,Tuesday,February,7,Afternoon,1,0,1,2
9048,Sant Martí,Monday,October,23,Morning,0,0,0,1
9049,Sant Martí,Friday,October,20,Afternoon,1,0,1,2
9050,Sant Martí,Thursday,July,27,Afternoon,1,0,1,2
9051,Sant Martí,Tuesday,April,25,Afternoon,1,0,1,1
9052,Sant Martí,Tuesday,May,16,Morning,1,0,1,2
9053,Sant Martí,Wednesday,January,11,Afternoon,1,0,1,2
9054,Sant Martí,Tuesday,May,2,Morning,3,0,3,3
9055,Sant Martí,Friday,July,7,Morning,1,0,1,2
9056,Sant Martí,Saturday,February,18,Afternoon,1,0,1,2
9057,Sant Martí,Tuesday,June,27,Afternoon,1,0,1,2
9058,Sant Martí,Sunday,November,5,Night,2,0,2,2
