,Id,District Name,Neighborhood Name,Street,Weekday,Month,Day,Hour,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved,Longitude,Latitude
6905,2017S008212    ,Eixample,la Dreta de l'Eixample,Corts Catalanes / Roger de Flor                   ,Thursday,October,5,10,Morning,1,0,1,2,2.176679,41.395745
6906,2017S001560    ,Eixample,la Dreta de l'Eixample,GV CORTS CATALANES / Girona                       ,Friday,February,24,23,Night,2,0,2,2,2.173277,41.393182
6907,2017S008076    ,Eixample,la Dreta de l'Eixample,Roger de Llúria / Diputació                       ,Saturday,September,30,17,Afternoon,1,0,1,2,2.169753,41.392429
6908,2017S006474    ,Eixample,la Dreta de l'Eixample,Diputació / Roger de Llúria                       ,Tuesday,July,25,5,Night,3,0,3,2,2.169753,41.392429
6909,2017S005174    ,Eixample,la Dreta de l'Eixample,Gràcia                                            ,Tuesday,June,13,9,Morning,1,0,1,2,2.167576,41.390425
6910,2017S009262    ,Eixample,la Dreta de l'Eixample,Tetuan / Sant Joan                                ,Thursday,November,9,10,Morning,1,0,1,2,2.176807,41.393927000000005
6911,2017S009864    ,Eixample,la Dreta de l'Eixample,Sant Joan / Casp                                  ,Monday,November,27,10,Morning,1,0,1,1,2.176807,41.393927000000005
6912,2017S005049    ,Eixample,la Dreta de l'Eixample,Sant Joan / Casp                                  ,Friday,June,9,12,Morning,0,0,0,2,2.176807,41.393927000000005
6913,2017S009961    ,Eixample,la Dreta de l'Eixample,Corts Catalanes                                   ,Wednesday,November,29,18,Afternoon,1,0,1,1,2.174179,41.39353
6914,2017S004666    ,Eixample,la Dreta de l'Eixample,Gràcia                                            ,Friday,May,26,19,Afternoon,0,1,1,1,2.165636,41.391992
6915,2017S010617    ,Eixample,la Dreta de l'Eixample,Gràcia / Aragó                                    ,Saturday,December,23,15,Afternoon,1,0,1,2,2.164884,41.392165000000006
6917,2017S005585    ,Eixample,la Dreta de l'Eixample,Corts Catalanes                                   ,Monday,June,26,18,Afternoon,0,0,0,2,2.169905,41.390978999999994
6918,2017S007965    ,Eixample,la Dreta de l'Eixample,Aragó / Bailèn                                    ,Tuesday,September,26,21,Afternoon,1,0,1,2,2.170918,41.396687
6919,2017S008021    ,Eixample,la Dreta de l'Eixample,Corts Catalanes / Bailèn                          ,Thursday,September,28,19,Afternoon,1,0,1,2,2.1744220000000003,41.394038
6920,2017S008630    ,Eixample,la Dreta de l'Eixample,Tetuan                                            ,Thursday,October,19,16,Afternoon,1,0,1,2,2.175728,41.394232
6921,2017S005576    ,Eixample,la Dreta de l'Eixample,Corts Catalanes                                   ,Monday,June,26,19,Afternoon,1,0,1,2,2.172914,41.392576
6922,2017S006772    ,Eixample,la Dreta de l'Eixample,Roger de Llúria                                   ,Saturday,August,5,2,Night,1,0,1,2,2.168022,41.393896000000005
6923,2017S004773    ,Eixample,la Dreta de l'Eixample,Diputació                                         ,Wednesday,May,31,9,Morning,4,0,4,1,2.173387,41.395299
6924,2017S002300    ,Eixample,la Dreta de l'Eixample,GV CORTS CATALANES                                ,Wednesday,March,22,14,Afternoon,1,0,1,2,2.168536,41.389948
6925,2017S001714    ,Eixample,la Dreta de l'Eixample,GV CORTS CATALANES                                ,Thursday,March,2,9,Morning,1,0,1,2,2.1691130000000003,41.389720000000004
6926,2017S010470    ,Eixample,la Dreta de l'Eixample,Pau Claris / Consell de Cent                      ,Monday,December,18,20,Afternoon,1,0,1,2,2.167507,41.39244
6927,2017S006288    ,Eixample,la Dreta de l'Eixample,Consell de Cent / Pau Claris                      ,Tuesday,July,18,21,Afternoon,1,0,1,2,2.167507,41.39244
6928,2017S001219    ,Eixample,la Dreta de l'Eixample,PAU CLARIS / GV Corts Catalanes                   ,Tuesday,February,14,8,Morning,1,0,1,2,2.169896,41.390642
6929,2017S004954    ,Eixample,la Dreta de l'Eixample,Tetuan                                            ,Tuesday,June,6,14,Afternoon,2,0,2,2,2.174585,41.394548
6930,2017S005613    ,Eixample,la Dreta de l'Eixample,Tetuan                                            ,Tuesday,June,27,22,Night,1,0,1,1,2.174656,41.394686
6931,2017S007231    ,Eixample,la Dreta de l'Eixample,Tetuan                                            ,Tuesday,August,29,14,Afternoon,1,0,1,1,2.174656,41.394686
6932,2017S009592    ,Eixample,la Dreta de l'Eixample,Tetuan                                            ,Saturday,November,18,12,Morning,1,0,1,1,2.1760599999999997,41.395635999999996
6933,2017S004957    ,Eixample,la Dreta de l'Eixample,Catalunya / Bergara                               ,Tuesday,June,6,16,Afternoon,1,0,1,4,2.169382,41.386614
6934,2017S003815    ,Eixample,la Dreta de l'Eixample,Catalunya                                         ,Saturday,April,29,14,Afternoon,3,0,3,3,2.1685630000000002,41.386984999999996
6935,2017S008455    ,Eixample,la Dreta de l'Eixample,Catalunya                                         ,Saturday,October,14,7,Morning,0,0,0,2,2.168869,41.387667
