,Unnamed: 0,District Name,Weekday,Month,Day,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved,Date
407,407,Sant Andreu,Sunday,April,30,Morning,1,0,1,1,April 30
408,408,Sant Martí,Friday,April,28,Afternoon,1,0,1,2,April 28
409,409,Ciutat Vella,Saturday,April,29,Morning,1,0,1,2,April 29
410,410,Eixample,Friday,April,28,Morning,1,0,1,2,April 28
411,411,Eixample,Sunday,April,30,Morning,0,0,0,2,April 30
412,412,Eixample,Sunday,April,30,Morning,1,0,1,2,April 30
413,413,Eixample,Saturday,April,29,Morning,1,0,1,2,April 29
414,414,Eixample,Saturday,April,29,Morning,1,0,1,3,April 29
415,415,Gràcia,Saturday,April,29,Afternoon,1,0,1,2,April 29
416,416,Horta-Guinardó,Friday,April,28,Morning,1,0,1,2,April 28
417,417,Nou Barris,Sunday,April,30,Morning,1,0,1,2,April 30
418,418,Nou Barris,Saturday,April,29,Night,0,0,0,11,April 29
419,419,Sant Andreu,Sunday,April,30,Afternoon,0,0,0,1,April 30
420,420,Eixample,Saturday,April,29,Afternoon,2,0,2,3,April 29
421,421,Eixample,Sunday,April,30,Morning,1,0,1,3,April 30
422,422,Eixample,Saturday,April,29,Night,1,0,1,2,April 29
423,423,Eixample,Friday,April,28,Afternoon,1,0,1,2,April 28
424,424,Sants-Montjuïc,Sunday,April,30,Morning,2,0,2,1,April 30
425,425,Les Corts,Friday,April,28,Morning,1,0,1,2,April 28
426,426,Horta-Guinardó,Saturday,April,29,Night,0,0,0,1,April 29
427,427,Sant Andreu,Friday,April,28,Morning,1,0,1,2,April 28
428,428,Sant Andreu,Saturday,April,29,Afternoon,2,0,2,2,April 29
429,429,Sant Andreu,Friday,April,28,Morning,1,0,1,2,April 28
430,430,Sant Martí,Friday,April,28,Afternoon,0,0,0,1,April 28
431,431,Sant Martí,Sunday,April,30,Morning,0,0,0,2,April 30
432,432,Eixample,Friday,April,28,Morning,1,0,1,2,April 28
433,433,Sarrià-Sant Gervasi,Friday,April,28,Afternoon,1,0,1,1,April 28
434,434,Gràcia,Saturday,April,29,Afternoon,1,0,1,1,April 29
435,435,Horta-Guinardó,Sunday,April,30,Afternoon,1,0,1,2,April 30
436,436,Nou Barris,Friday,April,28,Morning,4,0,4,2,April 28
437,437,Sant Andreu,Sunday,April,30,Afternoon,1,0,1,2,April 30
438,438,Sant Andreu,Sunday,April,30,Morning,0,0,0,4,April 30
439,439,Eixample,Saturday,April,29,Afternoon,3,0,3,3,April 29
440,440,Eixample,Friday,April,28,Afternoon,1,0,1,2,April 28
441,441,Sants-Montjuïc,Friday,April,28,Morning,0,0,0,2,April 28
442,442,Sants-Montjuïc,Sunday,April,30,Morning,0,0,0,1,April 30
443,443,Sarrià-Sant Gervasi,Friday,April,28,Night,1,0,1,2,April 28
444,444,Horta-Guinardó,Sunday,April,30,Afternoon,1,0,1,2,April 30
445,445,Nou Barris,Friday,April,28,Afternoon,0,0,0,2,April 28
446,446,Nou Barris,Friday,April,28,Afternoon,1,0,1,2,April 28
447,447,Ciutat Vella,Saturday,April,29,Morning,1,0,1,1,April 29
448,448,Eixample,Saturday,April,29,Morning,1,0,1,1,April 29
449,449,Sants-Montjuïc,Sunday,April,30,Morning,1,0,1,2,April 30
450,450,Sarrià-Sant Gervasi,Sunday,April,30,Night,1,0,1,2,April 30
451,451,Sant Andreu,Saturday,April,29,Morning,1,0,1,2,April 29
452,452,Sant Martí,Sunday,April,30,Night,1,0,1,2,April 30
453,453,Ciutat Vella,Saturday,April,29,Night,1,0,1,1,April 29
454,454,Ciutat Vella,Friday,April,28,Afternoon,1,0,1,2,April 28
455,455,Ciutat Vella,Friday,April,28,Afternoon,1,0,1,2,April 28
456,456,Eixample,Friday,April,28,Afternoon,2,0,2,1,April 28
457,457,Eixample,Saturday,April,29,Night,1,1,2,3,April 29
458,458,Les Corts,Sunday,April,30,Morning,1,0,1,2,April 30
459,459,Sarrià-Sant Gervasi,Saturday,April,29,Afternoon,1,0,1,2,April 29
460,460,Horta-Guinardó,Sunday,April,30,Afternoon,1,0,1,2,April 30
461,461,Sant Martí,Monday,May,1,Night,0,0,0,3,May 1
462,462,Eixample,Monday,May,1,Morning,1,0,1,2,May 1
463,463,Eixample,Monday,May,1,Night,1,0,1,2,May 1
464,464,Sants-Montjuïc,Monday,May,1,Night,1,0,1,1,May 1
465,465,Eixample,Monday,May,1,Afternoon,1,0,1,2,May 1
466,466,Sants-Montjuïc,Monday,May,1,Night,0,0,0,3,May 1
467,467,Nou Barris,Monday,May,1,Night,2,0,2,2,May 1
468,468,Sant Martí,Monday,May,1,Night,0,0,0,2,May 1
469,469,Nou Barris,Monday,May,1,Night,3,0,3,2,May 1
470,470,Ciutat Vella,Monday,May,1,Morning,1,0,1,2,May 1
471,471,Eixample,Monday,May,1,Afternoon,2,0,2,2,May 1
472,472,Eixample,Monday,May,1,Night,2,0,2,3,May 1
473,473,Gràcia,Monday,May,1,Afternoon,1,0,1,2,May 1
474,474,Sant Martí,Friday,June,2,Morning,1,0,1,1,June 2
475,475,Ciutat Vella,Friday,June,2,Afternoon,1,0,1,2,June 2
476,476,Eixample,Sunday,June,4,Afternoon,1,0,1,2,June 4
477,477,Eixample,Friday,June,2,Afternoon,0,0,0,2,June 2
478,478,Eixample,Friday,June,2,Afternoon,1,0,1,2,June 2
479,479,Sants-Montjuïc,Sunday,June,4,Afternoon,1,0,1,2,June 4
480,480,Sarrià-Sant Gervasi,Sunday,June,4,Morning,0,0,0,1,June 4
481,481,Sarrià-Sant Gervasi,Monday,June,5,Night,1,0,1,2,June 5
482,482,Sarrià-Sant Gervasi,Saturday,June,3,Night,0,0,0,5,June 3
483,483,Nou Barris,Sunday,June,4,Afternoon,4,0,4,2,June 4
484,484,Nou Barris,Friday,June,2,Afternoon,1,0,1,2,June 2
485,485,Nou Barris,Friday,June,2,Afternoon,1,0,1,2,June 2
486,486,Sant Andreu,Friday,June,2,Morning,1,0,1,3,June 2
487,487,Sant Martí,Sunday,June,4,Afternoon,0,0,0,2,June 4
488,488,Ciutat Vella,Saturday,June,3,Morning,0,0,0,2,June 3
489,489,Ciutat Vella,Monday,June,5,Morning,0,0,0,1,June 5
490,490,Eixample,Saturday,June,3,Afternoon,3,0,3,2,June 3
491,491,Eixample,Saturday,June,3,Afternoon,1,0,1,2,June 3
492,492,Sants-Montjuïc,Sunday,June,4,Night,1,0,1,3,June 4
493,493,Sants-Montjuïc,Friday,June,2,Afternoon,0,0,0,2,June 2
494,494,Horta-Guinardó,Saturday,June,3,Afternoon,0,0,0,2,June 3
495,495,Nou Barris,Monday,June,5,Afternoon,0,0,0,1,June 5
496,496,Sant Martí,Friday,June,2,Morning,1,0,1,2,June 2
497,497,Sant Martí,Friday,June,2,Afternoon,1,0,1,2,June 2
498,498,Ciutat Vella,Friday,June,2,Afternoon,2,0,2,3,June 2
499,499,Eixample,Monday,June,5,Afternoon,1,0,1,2,June 5
500,500,Eixample,Friday,June,2,Morning,1,0,1,2,June 2
