,District Name,Weekday,Month,Day,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved
634,Les Corts,Sunday,April,23,Afternoon,1,0,1,1
635,Gràcia,Sunday,April,23,Afternoon,0,0,0,2
636,Ciutat Vella,Sunday,April,23,Morning,2,0,2,2
637,Eixample,Sunday,April,23,Afternoon,1,0,1,2
638,Sarrià-Sant Gervasi,Sunday,April,23,Afternoon,2,0,2,2
639,Ciutat Vella,Sunday,April,23,Afternoon,0,0,0,3
640,Eixample,Sunday,April,23,Afternoon,2,0,2,2
641,Sant Martí,Sunday,April,23,Afternoon,0,2,2,2
642,Ciutat Vella,Sunday,April,23,Afternoon,1,0,1,2
643,Eixample,Sunday,April,23,Morning,0,0,0,1
644,Sants-Montjuïc,Sunday,April,23,Morning,0,0,0,1
645,Sant Andreu,Sunday,April,23,Afternoon,0,0,0,2
646,Eixample,Sunday,April,23,Night,1,0,1,1
647,Les Corts,Sunday,April,23,Afternoon,4,0,4,3
648,Sant Martí,Tuesday,February,14,Afternoon,1,0,1,1
649,Eixample,Tuesday,February,14,Morning,1,0,1,2
650,Sant Martí,Tuesday,February,14,Night,1,0,1,2
651,Eixample,Tuesday,February,14,Afternoon,1,0,1,2
652,Eixample,Tuesday,February,14,Morning,1,0,1,2
653,Les Corts,Tuesday,February,14,Afternoon,1,0,1,1
654,Unknown,Tuesday,February,14,Afternoon,1,0,1,2
655,Sant Martí,Tuesday,February,14,Morning,1,0,1,2
656,Sant Martí,Tuesday,February,14,Afternoon,1,0,1,2
657,Eixample,Tuesday,February,14,Afternoon,1,0,1,2
658,Eixample,Tuesday,February,14,Night,2,0,2,2
659,Sants-Montjuïc,Tuesday,February,14,Morning,1,0,1,2
660,Les Corts,Tuesday,February,14,Morning,1,0,1,2
661,Sarrià-Sant Gervasi,Tuesday,February,14,Afternoon,1,0,1,2
662,Sarrià-Sant Gervasi,Tuesday,February,14,Afternoon,1,0,1,2
663,Horta-Guinardó,Tuesday,February,14,Afternoon,1,0,1,2
664,Eixample,Tuesday,February,14,Afternoon,1,0,1,1
665,Eixample,Tuesday,February,14,Afternoon,1,0,1,2
666,Sant Martí,Tuesday,February,14,Afternoon,1,0,1,2
667,Eixample,Tuesday,February,14,Morning,1,0,1,1
668,Eixample,Tuesday,February,14,Morning,1,0,1,2
669,Sant Martí,Tuesday,February,14,Afternoon,1,0,1,2
670,Eixample,Tuesday,February,14,Afternoon,1,0,1,2
671,Eixample,Tuesday,February,14,Morning,1,0,1,2
672,Eixample,Tuesday,February,14,Afternoon,1,0,1,2
673,Les Corts,Tuesday,February,14,Afternoon,2,0,2,2
674,Gràcia,Tuesday,February,14,Afternoon,1,0,1,2
675,Horta-Guinardó,Tuesday,February,14,Afternoon,4,0,4,1
676,Eixample,Tuesday,February,14,Morning,1,0,1,2
677,Eixample,Tuesday,February,14,Morning,1,0,1,2
678,Eixample,Tuesday,February,14,Morning,1,0,1,3
679,Sarrià-Sant Gervasi,Tuesday,February,14,Afternoon,0,0,0,2
680,Eixample,Tuesday,February,14,Afternoon,1,0,1,2
681,Eixample,Tuesday,February,14,Afternoon,1,0,1,2
682,Eixample,Tuesday,February,14,Morning,1,0,1,2
683,Eixample,Tuesday,February,14,Morning,1,0,1,2
684,Les Corts,Tuesday,February,14,Morning,1,0,1,2
685,Sarrià-Sant Gervasi,Tuesday,February,14,Afternoon,1,0,1,2
686,Horta-Guinardó,Tuesday,February,14,Afternoon,0,0,0,1
687,Horta-Guinardó,Tuesday,February,14,Morning,2,0,2,2
