"Any","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Edat_mitjana","Nombre"
2019,8,"Nou Barris",52,"la Prosperitat","Tots espanyols",49.6149436746087
2019,8,"Nou Barris",53,"la Trinitat Nova","Tots espanyols",47.2621648460775
2019,8,"Nou Barris",54,"Torre Baró","Tots espanyols",41.6080200501253
2019,8,"Nou Barris",55,"Ciutat Meridiana","Tots espanyols",48.0360344827586
2019,8,"Nou Barris",56,"Vallbona","Tots espanyols",44.5548961424332
2019,9,"Sant Andreu",57,"la Trinitat Vella","Tots espanyols",45.6347007636299
2019,9,"Sant Andreu",58,"Baró de Viver","Tots espanyols",44.0128600823045
2019,9,"Sant Andreu",59,"el Bon Pastor","Tots espanyols",43.5235774080746
2019,9,"Sant Andreu",60,"Sant Andreu","Tots espanyols",46.2434294256682
2019,9,"Sant Andreu",61,"la Sagrera","Tots espanyols",48.8977156343234
2019,9,"Sant Andreu",62,"el Congrés i els Indians","Tots espanyols",48.3882223646854
2019,9,"Sant Andreu",63,"Navas","Tots espanyols",49.2961185434039
2019,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Tots espanyols",49.356467104788
2019,10,"Sant Martí",65,"el Clot","Tots espanyols",46.9397095496553
2019,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Tots espanyols",48.1065321805956
2019,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Tots espanyols",43.8959174517721
2019,10,"Sant Martí",68,"el Poblenou","Tots espanyols",44.6778551301177
2019,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Tots espanyols",42.5502704909666
2019,10,"Sant Martí",70,"el Besòs i el Maresme","Tots espanyols",48.4526083238312
2019,10,"Sant Martí",71,"Provençals del Poblenou","Tots espanyols",45.2748882820258
2019,10,"Sant Martí",72,"Sant Martí de Provençals","Tots espanyols",49.4645879949411
2019,10,"Sant Martí",73,"la Verneda i la Pau","Tots espanyols",49.7551852663889
2019,1,"Ciutat Vella",1,"el Raval","Tots estrangers",31.8813147461312
2019,1,"Ciutat Vella",2,"el Barri Gòtic","Tots estrangers",32.8286259541985
2019,1,"Ciutat Vella",3,"la Barceloneta","Tots estrangers",32.944364851958
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Tots estrangers",33.1093497724938
2019,2,"Eixample",5,"el Fort Pienc","Tots estrangers",31.9614626669586
2019,2,"Eixample",6,"la Sagrada Família","Tots estrangers",32.3953873982514
2019,2,"Eixample",7,"la Dreta de l'Eixample","Tots estrangers",33.0868876080692
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Tots estrangers",33.3233264320221
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Tots estrangers",33.0167614486681
2019,2,"Eixample",10,"Sant Antoni","Tots estrangers",32.7990681421083
2019,3,"Sants-Montjuïc",11,"el Poble Sec","Tots estrangers",32.400320256205
2019,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Tots estrangers",34.3454545454545
2019,3,"Sants-Montjuïc",13,"la Marina de Port","Tots estrangers",31.2675573826653
2019,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Tots estrangers",32.6083860759494
2019,3,"Sants-Montjuïc",15,"Hostafrancs","Tots estrangers",32.0184023421163
2019,3,"Sants-Montjuïc",16,"la Bordeta","Tots estrangers",31.9849279161206
2019,3,"Sants-Montjuïc",17,"Sants - Badal","Tots estrangers",31.6854707792208
2019,3,"Sants-Montjuïc",18,"Sants","Tots estrangers",32.4101278515919
2019,4,"Les Corts",19,"les Corts","Tots estrangers",33.0676714856967
2019,4,"Les Corts",20,"la Maternitat i Sant Ramon","Tots estrangers",31.7148014440433
2019,4,"Les Corts",21,"Pedralbes","Tots estrangers",33.8353566009105
2019,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Tots estrangers",33.06038647343
2019,5,"Sarrià-Sant Gervasi",23,"Sarrià","Tots estrangers",32.1821801891488
2019,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Tots estrangers",33.8249400479616
2019,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Tots estrangers",32.5701598579041
2019,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Tots estrangers",33.6071820175439
2019,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Tots estrangers",33.3718298868513
2019,6,"Gràcia",28,"Vallcarca i els Penitents","Tots estrangers",32.9877961234745
2019,6,"Gràcia",29,"el Coll","Tots estrangers",32.2091194968553
2019,6,"Gràcia",30,"la Salut","Tots estrangers",32.4142581888247
2019,6,"Gràcia",31,"la Vila de Gràcia","Tots estrangers",32.6221615406726
2019,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Tots estrangers",32.3493536625787
2019,7,"Horta-Guinardó",33,"el Baix Guinardó","Tots estrangers",32.8648393194707
2019,7,"Horta-Guinardó",34,"Can Baró","Tots estrangers",30.6187134502924
2019,7,"Horta-Guinardó",35,"el Guinardó","Tots estrangers",32.2845117845118
2019,7,"Horta-Guinardó",36,"la Font d'en Fargues","Tots estrangers",32.5387096774194
2019,7,"Horta-Guinardó",37,"el Carmel","Tots estrangers",31.8142614601019
2019,7,"Horta-Guinardó",38,"la Teixonera","Tots estrangers",31.3309644670051
2019,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Tots estrangers",32.6613475177305
2019,7,"Horta-Guinardó",40,"Montbau","Tots estrangers",31.1230366492147
2019,7,"Horta-Guinardó",41,"la Vall d'Hebron","Tots estrangers",30.6989247311828
2019,7,"Horta-Guinardó",42,"la Clota","Tots estrangers",30.4912280701754
2019,7,"Horta-Guinardó",43,"Horta","Tots estrangers",32.3887733887734
2019,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Tots estrangers",32.1205357142857
2019,8,"Nou Barris",45,"Porta","Tots estrangers",31.7776717557252
2019,8,"Nou Barris",46,"el Turó de la Peira","Tots estrangers",31.6085526315789
2019,8,"Nou Barris",47,"Can Peguera","Tots estrangers",33.2427184466019
2019,8,"Nou Barris",48,"la Guineueta","Tots estrangers",32.3563579277865
2019,8,"Nou Barris",49,"Canyelles","Tots estrangers",32.0225988700565
2019,8,"Nou Barris",50,"les Roquetes","Tots estrangers",30.6634615384615
2019,8,"Nou Barris",51,"Verdun","Tots estrangers",30.0059602649007
2019,8,"Nou Barris",52,"la Prosperitat","Tots estrangers",31.2297181895816
2019,8,"Nou Barris",53,"la Trinitat Nova","Tots estrangers",30.571875
2019,8,"Nou Barris",54,"Torre Baró","Tots estrangers",31.4903474903475
2019,8,"Nou Barris",55,"Ciutat Meridiana","Tots estrangers",29.6164669098489
2019,8,"Nou Barris",56,"Vallbona","Tots estrangers",33.3333333333333
2019,9,"Sant Andreu",57,"la Trinitat Vella","Tots estrangers",30.5767543859649
2019,9,"Sant Andreu",58,"Baró de Viver","Tots estrangers",29.58125
2019,9,"Sant Andreu",59,"el Bon Pastor","Tots estrangers",30.917537746806
2019,9,"Sant Andreu",60,"Sant Andreu","Tots estrangers",32.8197351559163
2019,9,"Sant Andreu",61,"la Sagrera","Tots estrangers",32.3176645225136
2019,9,"Sant Andreu",62,"el Congrés i els Indians","Tots estrangers",32
2019,9,"Sant Andreu",63,"Navas","Tots estrangers",32.2272974442632
2019,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Tots estrangers",32.4089237558225
2019,10,"Sant Martí",65,"el Clot","Tots estrangers",33.0991027732463
2019,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Tots estrangers",32.368609406953
2019,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Tots estrangers",33.5402405180388
2019,10,"Sant Martí",68,"el Poblenou","Tots estrangers",32.672517432075
