,Unnamed: 0,Unnamed: 0.1,District Name,Weekday,Month,Day,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved,Date
163,163,163,Unknown,Friday,December,8,Afternoon,5,0,5,2,December 8
164,164,164,Eixample,Thursday,December,7,Morning,1,0,1,2,December 7
165,165,165,Eixample,Wednesday,December,6,Afternoon,2,0,2,2,December 6
166,166,166,Gràcia,Thursday,December,7,Morning,1,0,1,1,December 7
167,167,167,Sant Andreu,Friday,December,8,Morning,2,0,2,2,December 8
168,168,168,Sant Martí,Wednesday,December,6,Morning,1,0,1,1,December 6
169,169,169,Eixample,Thursday,December,7,Morning,1,0,1,2,December 7
170,170,170,Sants-Montjuïc,Friday,December,8,Night,4,0,4,3,December 8
171,171,171,Nou Barris,Wednesday,December,6,Afternoon,1,0,1,2,December 6
172,172,172,Eixample,Wednesday,December,6,Night,1,0,1,2,December 6
173,173,173,Eixample,Thursday,December,7,Morning,1,0,1,2,December 7
174,174,174,Les Corts,Thursday,December,7,Afternoon,1,0,1,3,December 7
175,175,175,Sarrià-Sant Gervasi,Thursday,December,7,Afternoon,2,0,2,2,December 7
176,176,176,Horta-Guinardó,Friday,December,8,Night,1,0,1,2,December 8
177,177,177,Nou Barris,Thursday,December,7,Afternoon,2,0,2,1,December 7
178,178,178,Sant Martí,Thursday,December,7,Morning,1,0,1,2,December 7
179,179,179,Ciutat Vella,Thursday,December,7,Afternoon,1,0,1,2,December 7
180,180,180,Sants-Montjuïc,Wednesday,December,6,Afternoon,2,0,2,2,December 6
181,181,181,Sants-Montjuïc,Thursday,December,7,Afternoon,1,0,1,2,December 7
182,182,182,Sants-Montjuïc,Wednesday,December,6,Night,1,0,1,2,December 6
183,183,183,Gràcia,Wednesday,December,6,Morning,1,0,1,2,December 6
184,184,184,Eixample,Wednesday,December,6,Night,1,0,1,2,December 6
185,185,185,Sants-Montjuïc,Wednesday,December,6,Morning,3,0,3,2,December 6
186,186,186,Sant Andreu,Thursday,December,7,Night,2,0,2,1,December 7
187,187,187,Sant Martí,Friday,December,8,Night,0,0,0,2,December 8
188,188,188,Ciutat Vella,Friday,December,8,Morning,1,0,1,2,December 8
189,189,189,Eixample,Wednesday,December,6,Night,2,0,2,2,December 6
190,190,190,Eixample,Friday,December,8,Afternoon,1,0,1,2,December 8
191,191,191,Sant Andreu,Wednesday,December,6,Afternoon,1,0,1,2,December 6
192,192,192,Eixample,Wednesday,December,6,Night,1,0,1,2,December 6
193,193,193,Eixample,Friday,December,8,Afternoon,1,0,1,2,December 8
194,194,194,Les Corts,Thursday,December,7,Morning,1,0,1,2,December 7
195,195,195,Les Corts,Thursday,December,7,Afternoon,1,0,1,1,December 7
196,196,196,Gràcia,Thursday,December,7,Morning,1,0,1,1,December 7
197,197,197,Sant Martí,Wednesday,December,6,Night,1,0,1,3,December 6
