"Any","Mes","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Poblacio_16_64_anys","Pes_atur"
2020,3,8,"Nou Barris",51,"Verdun",8117,"9.3"
2020,3,8,"Nou Barris",52,"la Prosperitat",16606,"8.9"
2020,3,8,"Nou Barris",53,"la Trinitat Nova",5082,"13.1"
2020,3,8,"Nou Barris",54,"Torre Baró",1996,"9.2"
2020,3,8,"Nou Barris",55,"Ciutat Meridiana",7070,"13.6"
2020,3,8,"Nou Barris",56,"Vallbona",893,"12.5"
2020,3,9,"Sant Andreu",57,"la Trinitat Vella",6917,"12.8"
2020,3,9,"Sant Andreu",58,"Baró de Viver",1732,"7.4"
2020,3,9,"Sant Andreu",59,"el Bon Pastor",8481,"8.6"
2020,3,9,"Sant Andreu",60,"Sant Andreu",36844,"8.0"
2020,3,9,"Sant Andreu",61,"la Sagrera",18519,"7.2"
2020,3,9,"Sant Andreu",62,"el Congrés i els Indians",9449,"6.9"
2020,3,9,"Sant Andreu",63,"Navas",14220,"7.0"
2020,3,10,"Sant Martí",64,"el Camp de l'Arpa del Clot",25518,"7.7"
2020,3,10,"Sant Martí",65,"el Clot",18066,"7.3"
2020,3,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",10558,"6.0"
2020,3,10,"Sant Martí",67,"la Vila Olímpica del Poblenou",6474,"6.6"
2020,3,10,"Sant Martí",68,"el Poblenou",22944,"6.4"
2020,3,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",8858,"7.7"
2020,3,10,"Sant Martí",70,"el Besòs i el Maresme",16577,"9.4"
2020,3,10,"Sant Martí",71,"Provençals del Poblenou",14217,"7.3"
2020,3,10,"Sant Martí",72,"Sant Martí de Provençals",16219,"8.9"
2020,3,10,"Sant Martí",73,"la Verneda i la Pau",17577,"9.3"
2020,4,1,"Ciutat Vella",1,"el Raval",36405,"11.2"
2020,4,1,"Ciutat Vella",2,"el Barri Gòtic",15462,"7.5"
2020,4,1,"Ciutat Vella",3,"la Barceloneta",11337,"10.7"
2020,4,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",17710,"9.4"
2020,4,2,"Eixample",5,"el Fort Pienc",21844,"6.7"
2020,4,2,"Eixample",6,"la Sagrada Família",34705,"6.9"
2020,4,2,"Eixample",7,"la Dreta de l'Eixample",29350,"5.4"
2020,4,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",29117,"5.9"
2020,4,2,"Eixample",9,"la Nova Esquerra de l'Eixample",38455,"6.8"
2020,4,2,"Eixample",10,"Sant Antoni",25754,"7.5"
2020,4,3,"Sants-Montjuïc",11,"el Poble Sec",28836,"9.2"
2020,4,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",816,"13.9"
2020,4,3,"Sants-Montjuïc",13,"la Marina de Port",20506,"9.4"
2020,4,3,"Sants-Montjuïc",14,"la Font de la Guatlla",6897,"9.6"
2020,4,3,"Sants-Montjuïc",15,"Hostafrancs",11132,"7.7"
2020,4,3,"Sants-Montjuïc",16,"la Bordeta",12688,"7.9"
2020,4,3,"Sants-Montjuïc",17,"Sants - Badal",16163,"6.5"
2020,4,3,"Sants-Montjuïc",18,"Sants",28367,"7.1"
2020,4,4,"Les Corts",19,"les Corts",28471,"7.2"
2020,4,4,"Les Corts",20,"la Maternitat i Sant Ramon",14547,"7.1"
2020,4,4,"Les Corts",21,"Pedralbes",7025,"3.3"
2020,4,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",3121,"3.5"
2020,4,5,"Sarrià-Sant Gervasi",23,"Sarrià",14983,"3.5"
2020,4,5,"Sarrià-Sant Gervasi",24,"les Tres Torres",10066,"4.3"
2020,4,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",15861,"4.4"
2020,4,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",29773,"4.2"
2020,4,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",19029,"6.2"
2020,4,6,"Gràcia",28,"Vallcarca i els Penitents",9998,"7.8"
