,Year,District Code,District Name,Neighborhood Code,Neighborhood Name,Gender,Immigrants,Emigrants
0,2017,1,Ciutat Vella,1,el Raval,Male,3063,1195
1,2017,1,Ciutat Vella,2,el Barri Gòtic,Male,1499,427
2,2017,1,Ciutat Vella,3,la Barceloneta,Male,910,361
3,2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Male,1438,502
4,2017,2,Eixample,5,el Fort Pienc,Male,1082,495
5,2017,2,Eixample,6,la Sagrada Família,Male,1693,796
6,2017,2,Eixample,7,la Dreta de l'Eixample,Male,1543,666
7,2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Male,1693,702
8,2017,2,Eixample,9,la Nova Esquerra de l'Eixample,Male,1927,925
9,2017,2,Eixample,10,Sant Antoni,Male,1253,632
10,2017,3,Sants-Montjuïc,11,el Poble Sec,Male,1595,887
11,2017,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Male,17,22
12,2017,3,Sants-Montjuïc,13,la Marina de Port,Male,724,516
13,2017,3,Sants-Montjuïc,14,la Font de la Guatlla,Male,351,193
14,2017,3,Sants-Montjuïc,15,Hostafrancs,Male,584,319
15,2017,3,Sants-Montjuïc,16,la Bordeta,Male,471,329
16,2017,3,Sants-Montjuïc,17,Sants - Badal,Male,703,475
17,2017,3,Sants-Montjuïc,18,Sants,Male,1407,789
18,2017,4,Les Corts,19,les Corts,Male,1054,651
19,2017,4,Les Corts,20,la Maternitat i Sant Ramon,Male,608,415
20,2017,4,Les Corts,21,Pedralbes,Male,367,189
21,2017,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Male,89,67
22,2017,5,Sarrià-Sant Gervasi,23,Sarrià,Male,606,318
23,2017,5,Sarrià-Sant Gervasi,24,les Tres Torres,Male,337,183
24,2017,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Male,531,299
25,2017,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Male,1092,598
26,2017,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Male,733,396
27,2017,6,Gràcia,28,Vallcarca i els Penitents,Male,355,229
28,2017,6,Gràcia,29,el Coll,Male,166,102
29,2017,6,Gràcia,30,la Salut,Male,382,184
30,2017,6,Gràcia,31,la Vila de Gràcia,Male,1623,792
31,2017,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Male,833,457
32,2017,7,Horta-Guinardó,33,el Baix Guinardó,Male,620,371
33,2017,7,Horta-Guinardó,34,Can Baró,Male,240,135
34,2017,7,Horta-Guinardó,35,el Guinardó,Male,874,524
35,2017,7,Horta-Guinardó,36,la Font d'en Fargues,Male,121,97
36,2017,7,Horta-Guinardó,37,el Carmel,Male,671,461
37,2017,7,Horta-Guinardó,38,la Teixonera,Male,246,186
38,2017,7,Horta-Guinardó,39,Sant Genís dels Agudells,Male,213,98
39,2017,7,Horta-Guinardó,40,Montbau,Male,129,87
40,2017,7,Horta-Guinardó,41,la Vall d'Hebron,Male,92,61
41,2017,7,Horta-Guinardó,42,la Clota,Male,18,6
42,2017,7,Horta-Guinardó,43,Horta,Male,521,329
43,2017,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Male,509,336
44,2017,8,Nou Barris,45,Porta,Male,647,369
45,2017,8,Nou Barris,46,el Turó de la Peira,Male,409,221
46,2017,8,Nou Barris,47,Can Peguera,Male,26,27
47,2017,8,Nou Barris,48,la Guineueta,Male,218,156
48,2017,8,Nou Barris,49,Canyelles,Male,62,60
49,2017,8,Nou Barris,50,les Roquetes,Male,413,253
50,2017,8,Nou Barris,51,Verdun,Male,305,203
51,2017,8,Nou Barris,52,la Prosperitat,Male,571,342
52,2017,8,Nou Barris,53,la Trinitat Nova,Male,221,156
53,2017,8,Nou Barris,54,Torre Baró,Male,53,44
54,2017,8,Nou Barris,55,Ciutat Meridiana,Male,409,230
55,2017,8,Nou Barris,56,Vallbona,Male,31,28
56,2017,9,Sant Andreu,57,la Trinitat Vella,Male,368,237
57,2017,9,Sant Andreu,58,Baró de Viver,Male,47,43
58,2017,9,Sant Andreu,59,el Bon Pastor,Male,307,215
59,2017,9,Sant Andreu,60,Sant Andreu,Male,939,667
60,2017,9,Sant Andreu,61,la Sagrera,Male,643,372
61,2017,9,Sant Andreu,62,el Congrés i els Indians,Male,297,191
62,2017,9,Sant Andreu,63,Navas,Male,501,300
63,2017,10,Sant Martí,64,el Camp de l'Arpa del Clot,Male,1075,595
64,2017,10,Sant Martí,65,el Clot,Male,651,373
65,2017,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Male,490,210
66,2017,10,Sant Martí,67,la Vila Olímpica del Poblenou,Male,190,140
67,2017,10,Sant Martí,68,el Poblenou,Male,874,513
68,2017,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Male,379,263
69,2017,10,Sant Martí,70,el Besòs i el Maresme,Male,1146,519
70,2017,10,Sant Martí,71,Provençals del Poblenou,Male,469,311
71,2017,10,Sant Martí,72,Sant Martí de Provençals,Male,536,357
72,2017,10,Sant Martí,73,la Verneda i la Pau,Male,602,389
73,2017,1,Ciutat Vella,1,el Raval,Female,2337,910
74,2017,1,Ciutat Vella,2,el Barri Gòtic,Female,1188,353
75,2017,1,Ciutat Vella,3,la Barceloneta,Female,849,353
76,2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Female,1327,528
77,2017,2,Eixample,5,el Fort Pienc,Female,1155,586
78,2017,2,Eixample,6,la Sagrada Família,Female,1898,890
79,2017,2,Eixample,7,la Dreta de l'Eixample,Female,1657,803
80,2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Female,1774,672
81,2017,2,Eixample,9,la Nova Esquerra de l'Eixample,Female,2135,1034
82,2017,2,Eixample,10,Sant Antoni,Female,1237,682
83,2017,3,Sants-Montjuïc,11,el Poble Sec,Female,1492,790
84,2017,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Female,15,20
85,2017,3,Sants-Montjuïc,13,la Marina de Port,Female,775,511
86,2017,3,Sants-Montjuïc,14,la Font de la Guatlla,Female,295,200
87,2017,3,Sants-Montjuïc,15,Hostafrancs,Female,575,330
88,2017,3,Sants-Montjuïc,16,la Bordeta,Female,474,353
89,2017,3,Sants-Montjuïc,17,Sants - Badal,Female,773,539
90,2017,3,Sants-Montjuïc,18,Sants,Female,1432,863
91,2017,4,Les Corts,19,les Corts,Female,1222,728
92,2017,4,Les Corts,20,la Maternitat i Sant Ramon,Female,727,484
93,2017,4,Les Corts,21,Pedralbes,Female,397,192
94,2017,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Female,98,76
95,2017,5,Sarrià-Sant Gervasi,23,Sarrià,Female,602,379
96,2017,5,Sarrià-Sant Gervasi,24,les Tres Torres,Female,365,222
97,2017,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Female,650,334
98,2017,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Female,1342,680
99,2017,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Female,782,485
100,2017,6,Gràcia,28,Vallcarca i els Penitents,Female,417,261
101,2017,6,Gràcia,29,el Coll,Female,206,105
102,2017,6,Gràcia,30,la Salut,Female,350,202
103,2017,6,Gràcia,31,la Vila de Gràcia,Female,1964,933
104,2017,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Female,958,542
105,2017,7,Horta-Guinardó,33,el Baix Guinardó,Female,665,385
106,2017,7,Horta-Guinardó,34,Can Baró,Female,233,155
107,2017,7,Horta-Guinardó,35,el Guinardó,Female,963,561
108,2017,7,Horta-Guinardó,36,la Font d'en Fargues,Female,162,100
109,2017,7,Horta-Guinardó,37,el Carmel,Female,743,500
110,2017,7,Horta-Guinardó,38,la Teixonera,Female,266,189
111,2017,7,Horta-Guinardó,39,Sant Genís dels Agudells,Female,173,111
112,2017,7,Horta-Guinardó,40,Montbau,Female,127,82
113,2017,7,Horta-Guinardó,41,la Vall d'Hebron,Female,95,59
114,2017,7,Horta-Guinardó,42,la Clota,Female,21,9
115,2017,7,Horta-Guinardó,43,Horta,Female,606,354
116,2017,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Female,547,372
117,2017,8,Nou Barris,45,Porta,Female,751,371
118,2017,8,Nou Barris,46,el Turó de la Peira,Female,469,263
119,2017,8,Nou Barris,47,Can Peguera,Female,31,28
120,2017,8,Nou Barris,48,la Guineueta,Female,275,207
121,2017,8,Nou Barris,49,Canyelles,Female,78,55
122,2017,8,Nou Barris,50,les Roquetes,Female,507,302
123,2017,8,Nou Barris,51,Verdun,Female,361,201
124,2017,8,Nou Barris,52,la Prosperitat,Female,635,379
125,2017,8,Nou Barris,53,la Trinitat Nova,Female,237,167
126,2017,8,Nou Barris,54,Torre Baró,Female,42,51
127,2017,8,Nou Barris,55,Ciutat Meridiana,Female,429,204
128,2017,8,Nou Barris,56,Vallbona,Female,38,36
129,2017,9,Sant Andreu,57,la Trinitat Vella,Female,307,223
130,2017,9,Sant Andreu,58,Baró de Viver,Female,45,46
131,2017,9,Sant Andreu,59,el Bon Pastor,Female,351,192
