,Nom_Barri,Preu
191,el Turó de la Peira,613.8
192,Can Peguera,
193,la Guineueta,625.23
194,Canyelles,701.5
195,les Roquetes,560.56
196,Verdun,593.64
197,la Prosperitat,625.66
198,la Trinitat Nova,538.45
199,Torre Baró,463.17
200,Ciutat Meridiana,423.09
201,Vallbona,
202,la Trinitat Vella,532.33
203,Baró de Viver,
204,el Bon Pastor,653.72
205,Sant Andreu,744.73
206,la Sagrera,692.49
207,el Congrés i els Indians,761.19
208,Navas,790.19
209,el Camp de l'Arpa del Clot,797.7
210,el Clot,775.27
211,el Parc i la Llacuna del Poblenou,905.24
212,la Vila Olímpica del Poblenou,1189.26
213,el Poblenou,917.87
214,Diagonal Mar i el Front Marítim del Poblenou,1093.34
215,el Besòs i el Maresme,625.13
216,Provençals del Poblenou,933.9
217,Sant Martí de Provençals,776.09
218,la Verneda i la Pau,711.99
219,el Raval,776.73
220,el Barri Gòtic,993.16
221,la Barceloneta,766.03
222,"Sant Pere, Santa Caterina i la Ribera",914.78
223,el Fort Pienc,910.78
224,la Sagrada Família,877.02
225,la Dreta de l'Eixample,1225.08
226,l'Antiga Esquerra de l'Eixample,1081.29
227,la Nova Esquerra de l'Eixample,957.0
228,Sant Antoni,905.83
229,el Poble Sec,760.23
230,la Marina del Prat Vermell,
231,la Marina de Port,728.07
232,la Font de la Guatlla,827.36
233,Hostafrancs,771.78
234,la Bordeta,786.53
235,Sants - Badal,772.86
236,Sants,806.56
237,les Corts,1043.76
238,la Maternitat i Sant Ramon,935.38
239,Pedralbes,1737.92
240,"Vallvidrera, el Tibidabo i les Planes",1213.95
241,Sarrià,1334.77
242,les Tres Torres,1588.53
243,Sant Gervasi - la Bonanova,1198.24
244,Sant Gervasi - Galvany,1315.8
245,el Putxet i el Farró,938.2
246,Vallcarca i els Penitents,875.53
247,el Coll,711.57
248,la Salut,741.29
249,la Vila de Gràcia,879.85
250,el Camp d'en Grassot i Gràcia Nova,862.51
251,el Baix Guinardó,773.02
252,Can Baró,693.65
253,el Guinardó,759.06
254,la Font d'en Fargues,822.82
255,el Carmel,609.11
256,la Teixonera,616.32
257,Sant Genís dels Agudells,672.7
258,Montbau,754.69
259,la Vall d'Hebron,865.42
260,la Clota,
261,Horta,708.88
262,Vilapicina i la Torre Llobeta,723.34
263,Porta,682.83
264,el Turó de la Peira,653.52
265,Can Peguera,
266,la Guineueta,693.4
267,Canyelles,656.15
268,les Roquetes,565.18
269,Verdun,600.37
270,la Prosperitat,641.21
271,la Trinitat Nova,551.22
272,Torre Baró,448.23
273,Ciutat Meridiana,425.51
274,Vallbona,
275,la Trinitat Vella,535.92
276,Baró de Viver,
277,el Bon Pastor,576.97
278,Sant Andreu,751.95
279,la Sagrera,732.23
280,el Congrés i els Indians,742.89
281,Navas,805.1
282,el Camp de l'Arpa del Clot,789.59
283,el Clot,777.21
284,el Parc i la Llacuna del Poblenou,916.33
285,la Vila Olímpica del Poblenou,1349.82
286,el Poblenou,911.12
287,Diagonal Mar i el Front Marítim del Poblenou,1233.01
288,el Besòs i el Maresme,621.32
289,Provençals del Poblenou,864.09
290,Sant Martí de Provençals,790.58
291,la Verneda i la Pau,692.67
292,el Raval,13.5
293,el Barri Gòtic,14.14
294,la Barceloneta,19.46
295,"Sant Pere, Santa Caterina i la Ribera",15.01
296,el Fort Pienc,12.77
297,la Sagrada Família,13.04
298,la Dreta de l'Eixample,12.82
299,l'Antiga Esquerra de l'Eixample,13.24
300,la Nova Esquerra de l'Eixample,13.01
301,Sant Antoni,12.38
302,el Poble Sec,13.02
303,la Marina del Prat Vermell,
304,la Marina de Port,9.88
305,la Font de la Guatlla,12.59
306,Hostafrancs,12.36
307,la Bordeta,10.86
308,Sants - Badal,12.91
309,Sants,12.96
310,les Corts,13.63
311,la Maternitat i Sant Ramon,13.15
312,Pedralbes,16.05
313,"Vallvidrera, el Tibidabo i les Planes",10.12
314,Sarrià,16.28
315,les Tres Torres,16.12
316,Sant Gervasi - la Bonanova,14.6
317,Sant Gervasi - Galvany,14.06
318,el Putxet i el Farró,14.97
319,Vallcarca i els Penitents,14.1
320,el Coll,11.96
321,la Salut,12.48
322,la Vila de Gràcia,14.89
