Dist,num_crimes,,,
Ciutat Vella,44.241  ,,,
Eixample,46.210  ,,,
Sants-Montjuïc,20.219  ,,,
Les Corts,7.444  ,,,
Sarrià-Sant Gervasi,9.252  ,,,
Gràcia,7.731  ,,,
Horta-Guinardó,7.871  ,,,
Nou Barris,8.627  ,,,
Sant Andreu,10.657  ,,,
Sant Martí,22.417  ,,,
Unknown,2.160  ,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
