nationality,dist,num_immi
Bosnia and Herzegovina,Les Corts,0
Bosnia and Herzegovina,No consta,0
Bosnia and Herzegovina,Nou Barris,0
Bosnia and Herzegovina,Sant Andreu,3
Bosnia and Herzegovina,Sant Martí,8
Bosnia and Herzegovina,Sants-Montjuïc,0
Bosnia and Herzegovina,Sarrià-Sant Gervasi,1
Botswana,Ciutat Vella,0
Botswana,Eixample,1
Botswana,Gràcia,0
Botswana,Horta-Guinardó,1
Botswana,Les Corts,0
Botswana,No consta,0
Botswana,Nou Barris,0
Botswana,Sant Andreu,0
Botswana,Sant Martí,0
Botswana,Sants-Montjuïc,0
Botswana,Sarrià-Sant Gervasi,0
Brasil,Ciutat Vella,217
Brasil,Eixample,479
Brasil,Gràcia,148
Brasil,Horta-Guinardó,91
Brasil,Les Corts,75
Brasil,No consta,0
Brasil,Nou Barris,88
Brasil,Sant Andreu,79
Brasil,Sant Martí,264
Brasil,Sants-Montjuïc,205
Brasil,Sarrià-Sant Gervasi,111
Bulgaria,Ciutat Vella,45
Bulgaria,Eixample,54
Bulgaria,Gràcia,17
Bulgaria,Horta-Guinardó,14
Bulgaria,Les Corts,7
Bulgaria,No consta,0
Bulgaria,Nou Barris,9
Bulgaria,Sant Andreu,16
Bulgaria,Sant Martí,43
Bulgaria,Sants-Montjuïc,34
Bulgaria,Sarrià-Sant Gervasi,26
Burkina Faso,Ciutat Vella,1
Burkina Faso,Eixample,1
Burkina Faso,Gràcia,0
Burkina Faso,Horta-Guinardó,0
Burkina Faso,Les Corts,0
Burkina Faso,No consta,0
Burkina Faso,Nou Barris,1
Burkina Faso,Sant Andreu,0
Burkina Faso,Sant Martí,0
Burkina Faso,Sants-Montjuïc,0
Burkina Faso,Sarrià-Sant Gervasi,1
Cambodja,Ciutat Vella,0
Cambodja,Eixample,1
Cambodja,Gràcia,0
Cambodja,Horta-Guinardó,1
Cambodja,Les Corts,1
Cambodja,No consta,0
Cambodja,Nou Barris,0
Cambodja,Sant Andreu,0
Cambodja,Sant Martí,0
Cambodja,Sants-Montjuïc,0
Cambodja,Sarrià-Sant Gervasi,1
Camerun,Ciutat Vella,4
Camerun,Eixample,4
Camerun,Gràcia,5
Camerun,Horta-Guinardó,3
Camerun,Les Corts,1
Camerun,No consta,0
Camerun,Nou Barris,2
Camerun,Sant Andreu,4
Camerun,Sant Martí,7
Camerun,Sants-Montjuïc,9
Camerun,Sarrià-Sant Gervasi,3
Canada,Ciutat Vella,46
Canada,Eixample,37
Canada,Gràcia,23
Canada,Horta-Guinardó,6
Canada,Les Corts,10
Canada,No consta,0
Canada,Nou Barris,2
Canada,Sant Andreu,10
Canada,Sant Martí,20
Canada,Sants-Montjuïc,19
Canada,Sarrià-Sant Gervasi,24
Cape Verde,Ciutat Vella,0
Cape Verde,Eixample,0
Cape Verde,Gràcia,0
Cape Verde,Horta-Guinardó,0
Cape Verde,Les Corts,0
Cape Verde,No consta,0
Cape Verde,Nou Barris,0
Cape Verde,Sant Andreu,0
Cape Verde,Sant Martí,0
Cape Verde,Sants-Montjuïc,1
Cape Verde,Sarrià-Sant Gervasi,0
Chad,Ciutat Vella,0
Chad,Eixample,1
Chad,Gràcia,0
Chad,Horta-Guinardó,0
Chad,Les Corts,1
Chad,No consta,0
Chad,Nou Barris,0
Chad,Sant Andreu,0
Chad,Sant Martí,0
Chad,Sants-Montjuïc,0
Chad,Sarrià-Sant Gervasi,1
Chile,Ciutat Vella,177
Chile,Eixample,289
Chile,Gràcia,128
Chile,Horta-Guinardó,98
Chile,Les Corts,40
Chile,No consta,0
Chile,Nou Barris,34
Chile,Sant Andreu,41
Chile,Sant Martí,118
Chile,Sants-Montjuïc,106
Chile,Sarrià-Sant Gervasi,41
China,Ciutat Vella,134
China,Eixample,918
China,Gràcia,140
China,Horta-Guinardó,173
China,Les Corts,137
China,No consta,0
China,Nou Barris,266
China,Sant Andreu,250
China,Sant Martí,606
China,Sants-Montjuïc,512
China,Sarrià-Sant Gervasi,163
Colombia,Ciutat Vella,269
Colombia,Eixample,781
Colombia,Gràcia,200
Colombia,Horta-Guinardó,320
Colombia,Les Corts,133
Colombia,No consta,0
Colombia,Nou Barris,348
Colombia,Sant Andreu,270
Colombia,Sant Martí,375
Colombia,Sants-Montjuïc,431
Colombia,Sarrià-Sant Gervasi,128
Congo,Ciutat Vella,0
Congo,Eixample,0
Congo,Gràcia,0
Congo,Horta-Guinardó,4
Congo,Les Corts,1
Congo,No consta,0
Congo,Nou Barris,1
Congo,Sant Andreu,1
Congo,Sant Martí,1
Congo,Sants-Montjuïc,2
Congo,Sarrià-Sant Gervasi,1
Costa Rica,Ciutat Vella,20
Costa Rica,Eixample,69
Costa Rica,Gràcia,7
Costa Rica,Horta-Guinardó,10
Costa Rica,Les Corts,14
Costa Rica,No consta,0
Costa Rica,Nou Barris,5
Costa Rica,Sant Andreu,10
Costa Rica,Sant Martí,20
Costa Rica,Sants-Montjuïc,25
Costa Rica,Sarrià-Sant Gervasi,10
Croatia,Ciutat Vella,21
Croatia,Eixample,21
Croatia,Gràcia,11
Croatia,Horta-Guinardó,3
Croatia,Les Corts,3
Croatia,No consta,0
Croatia,Nou Barris,3
Croatia,Sant Andreu,2
Croatia,Sant Martí,13
Croatia,Sants-Montjuïc,8
Croatia,Sarrià-Sant Gervasi,4
Cuba,Ciutat Vella,43
Cuba,Eixample,117
Cuba,Gràcia,21
Cuba,Horta-Guinardó,45
Cuba,Les Corts,18
Cuba,No consta,0
Cuba,Nou Barris,52
Cuba,Sant Andreu,48
Cuba,Sant Martí,59
Cuba,Sants-Montjuïc,67
Cuba,Sarrià-Sant Gervasi,21
Cyprus,Ciutat Vella,5
Cyprus,Eixample,9
Cyprus,Gràcia,2
Cyprus,Horta-Guinardó,1
Cyprus,Les Corts,1
Cyprus,No consta,0
Cyprus,Nou Barris,0
Cyprus,Sant Andreu,1
Cyprus,Sant Martí,1
Cyprus,Sants-Montjuïc,4
Cyprus,Sarrià-Sant Gervasi,3
Czech Republic,Ciutat Vella,16
Czech Republic,Eixample,13
Czech Republic,Gràcia,6
Czech Republic,Horta-Guinardó,9
Czech Republic,Les Corts,6
Czech Republic,No consta,0
Czech Republic,Nou Barris,7
Czech Republic,Sant Andreu,2
Czech Republic,Sant Martí,12
Czech Republic,Sants-Montjuïc,9
Czech Republic,Sarrià-Sant Gervasi,9
Denmark,Ciutat Vella,48
Denmark,Eixample,18
Denmark,Gràcia,10
Denmark,Horta-Guinardó,4
Denmark,Les Corts,6
Denmark,No consta,0
Denmark,Nou Barris,3
Denmark,Sant Andreu,3
Denmark,Sant Martí,12
Denmark,Sants-Montjuïc,9
Denmark,Sarrià-Sant Gervasi,12
Dominica,Ciutat Vella,1
Dominica,Eixample,2
Dominica,Gràcia,0
Dominica,Horta-Guinardó,1
Dominica,Les Corts,0
Dominica,No consta,0
Dominica,Nou Barris,7
Dominica,Sant Andreu,0
Dominica,Sant Martí,0
Dominica,Sants-Montjuïc,1
Dominica,Sarrià-Sant Gervasi,0
Dominican Republic,Ciutat Vella,75
Dominican Republic,Eixample,126
Dominican Republic,Gràcia,33
Dominican Republic,Horta-Guinardó,119
Dominican Republic,Les Corts,47
Dominican Republic,No consta,0
Dominican Republic,Nou Barris,263
Dominican Republic,Sant Andreu,135
Dominican Republic,Sant Martí,134
Dominican Republic,Sants-Montjuïc,238
Dominican Republic,Sarrià-Sant Gervasi,26
Ecuador,Ciutat Vella,107
Ecuador,Eixample,266
Ecuador,Gràcia,84
Ecuador,Horta-Guinardó,133
Ecuador,Les Corts,90
