"CODI_EQUIPAMENT","EQUIPAMENT","SECCIO","TIPUS_VIA","NOM_CARRER","NUM_CARRER_1","NUM_CARRER_2","CODI_BARRI","NUM_BARRI","CODI_DISTRICTE","NOM_DISTRICTE","CODI_POSTAL","CODI_POBLACIO","POBLACIO","LATITUD","LONGITUD","X_ETRS89","Y_ETRS89","X_ED50","Y_ED50","TELEFON_NUM","TELEFON_TIPUS","TELEFON_INFO_COM","HORARI_PERIODE_INICI","HORARI_PERIODE_FI","HORARI_DIES","HORARI_HORES_INICI","HORARI_HORES_FI","HORARI_OBSERVACIONS","3ER_NIVELL","2N_NIVELL","1ER_NIVELL",
"92086012455","Àrea de Joc Infantil a la Plaça Félix Rodríguez de la Fuente","#","C","Estadella","58","58","59","el Bon Pastor","09","Sant Andreu","08030","019","BARCELONA","41.435191","2.204412","433531.623","4587374.592","433623.582","4587575.577","","","","","","","","","","A l'aire lliure","Espais de joc per a infants","Cultura i lleure",
"92086012455","Àrea de Joc Infantil a la Plaça Félix Rodríguez de la Fuente","#","C","Estadella","58","58","59","el Bon Pastor","09","Sant Andreu","08030","019","BARCELONA","41.435191","2.204412","433531.623","4587374.592","433623.582","4587575.577","","","","","","","","","","Àrees de jocs infantils","Espais infantils","Cultura i lleure",
"92086012456","Àrea de Joc Infantil al Grup Mare Déu de la Fe","#","C","Cantàbria","55","55","73","la Verneda i la Pau","10","Sant Martí","08020","019","BARCELONA","41.422411","2.198111","432992.036","4585960.646","433083.991","4586161.617","","","","","","","","","","A l'aire lliure","Espais de joc per a infants","Cultura i lleure",
"92086012456","Àrea de Joc Infantil al Grup Mare Déu de la Fe","#","C","Cantàbria","55","55","73","la Verneda i la Pau","10","Sant Martí","08020","019","BARCELONA","41.422411","2.198111","432992.036","4585960.646","433083.991","4586161.617","","","","","","","","","","Àrees de jocs infantils","Espais infantils","Cultura i lleure",
"92086012457","Àrea de Joc Infantil a la Rambla Prim - Granvia - Andrade","#","Rbla","Prim","125","125","73","la Verneda i la Pau","10","Sant Martí","08020","019","BARCELONA","41.419589","2.207563","433779.036","4585640.116","433870.998","4585841.085","","","","","","","","","","Àrees de jocs infantils","Espais infantils","Cultura i lleure",
"92086012457","Àrea de Joc Infantil a la Rambla Prim - Granvia - Andrade","#","Rbla","Prim","125","125","73","la Verneda i la Pau","10","Sant Martí","08020","019","BARCELONA","41.419589","2.207563","433779.036","4585640.116","433870.998","4585841.085","","","","","","","","","","A l'aire lliure","Espais de joc per a infants","Cultura i lleure",
"92086012459","Àrea de Joc Infantil a la Plaça Can Robacols","#","Pl","Can Robacols","9999","9999","64","el Camp de l'Arpa del Clot","10","Sant Martí","08026","019","BARCELONA","41.411898","2.183377","431749.803","4584805.045","431841.747","4585006.005","","","","","","","","","","A l'aire lliure","Espais de joc per a infants","Cultura i lleure",
"92086012459","Àrea de Joc Infantil a la Plaça Can Robacols","#","Pl","Can Robacols","9999","9999","64","el Camp de l'Arpa del Clot","10","Sant Martí","08026","019","BARCELONA","41.411898","2.183377","431749.803","4584805.045","431841.747","4585006.005","","","","","","","","","","Àrees de jocs infantils","Espais infantils","Cultura i lleure",
"92086012462","Àrea de Joc Infantil a la Plaça de la Palmera de Sant Martí","#","C","Puigcerdà","236","236","73","la Verneda i la Pau","10","Sant Martí","08020","019","BARCELONA","41.41993","2.203652","433452.477","4585680.951","433544.436","4585881.92","","","","","","","","","","Àrees de jocs infantils","Espais infantils","Cultura i lleure",
"92086012462","Àrea de Joc Infantil a la Plaça de la Palmera de Sant Martí","#","C","Puigcerdà","236","236","73","la Verneda i la Pau","10","Sant Martí","08020","019","BARCELONA","41.41993","2.203652","433452.477","4585680.951","433544.436","4585881.92","","","","","","","","","","A l'aire lliure","Espais de joc per a infants","Cultura i lleure",
"92086012463","Àrea de Joc Infantil a la Plaça Puigcerdà","#","Pl","Puigcerdà","0","0","71","Provençals del Poblenou","10","Sant Martí","08020","019","BARCELONA","41.41739","2.207275","433752.706","4585396.199","433844.668","4585597.165","","","","","","","","","","A l'aire lliure","Espais de joc per a infants","Cultura i lleure",
"92086012463","Àrea de Joc Infantil a la Plaça Puigcerdà","#","Pl","Puigcerdà","0","0","71","Provençals del Poblenou","10","Sant Martí","08020","019","BARCELONA","41.41739","2.207275","433752.706","4585396.199","433844.668","4585597.165","","","","","","","","","","Àrees de jocs infantils","Espais infantils","Cultura i lleure",
"92086012464","Àrea  de Joc Infantil a Via Trajana - Santander - Passeig Verneda - Binefar","#","C","Santander","58","58","73","la Verneda i la Pau","10","Sant Martí","08020","019","BARCELONA","41.428987","2.203747","433469.673","4586686.365","433561.632","4586887.343","","","","","","","","","","A l'aire lliure","Espais de joc per a infants","Cultura i lleure",
"92086012464","Àrea  de Joc Infantil a Via Trajana - Santander - Passeig Verneda - Binefar","#","C","Santander","58","58","73","la Verneda i la Pau","10","Sant Martí","08020","019","BARCELONA","41.428987","2.203747","433469.673","4586686.365","433561.632","4586887.343","","","","","","","","","","Àrees de jocs infantils","Espais infantils","Cultura i lleure",
"92086012468","Àrea de Joc Infantil al Passeig de Sant Joan - Provença - Rosselló","#","Pg","Sant Joan","130","130","07","la Dreta de Eixample","02","Eixample","08037","019","BARCELONA","41.401132","2.167947","430448.762","4583622.075","430540.694","4583823.024","","","","","","","","","","Àrees de jocs infantils","Espais infantils","Cultura i lleure",
"92086012468","Àrea de Joc Infantil al Passeig de Sant Joan - Provença - Rosselló","#","Pg","Sant Joan","130","130","07","la Dreta de Eixample","02","Eixample","08037","019","BARCELONA","41.401132","2.167947","430448.762","4583622.075","430540.694","4583823.024","","","","","","","","","","A l'aire lliure","Espais de joc per a infants","Cultura i lleure",
